h: n            x            y(proton  ),hh0l  n  y(photon  ),hh0dr n  y(neutron ),hh0mb n  
#  e-lower      e-upper        number    r.err      number    r.err      number    r.err 
   1.3032E-04   1.4454E-04   1.2010E-01  0.0277   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4454E-04   1.6032E-04   1.1633E-01  0.0283   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.6032E-04   1.7783E-04   1.1671E-01  0.0281   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.7783E-04   1.9724E-04   1.1683E-01  0.0276   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.9724E-04   2.1878E-04   1.0722E-01  0.0282   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.1878E-04   2.4266E-04   1.0290E-01  0.0277   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.4266E-04   2.6915E-04   9.0479E-02  0.0282   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.6915E-04   2.9854E-04   8.0258E-02  0.0282   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.9854E-04   3.3113E-04   7.3241E-02  0.0273   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.3113E-04   3.6728E-04   5.9386E-02  0.0276   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.6728E-04   4.0738E-04   4.5269E-02  0.0283   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.0738E-04   4.5186E-04   3.3473E-02  0.0288   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.5186E-04   5.0119E-04   2.6551E-02  0.0277   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.0119E-04   5.5590E-04   1.7761E-02  0.0283   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.5590E-04   6.1660E-04   1.1908E-02  0.0280   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.1660E-04   6.8391E-04   7.4219E-03  0.0280   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.8391E-04   7.5858E-04   4.3512E-03  0.0278   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.5858E-04   8.4140E-04   2.2212E-03  0.0287   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.4140E-04   9.3325E-04   1.1182E-03  0.0283   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.3325E-04   1.0351E-03   3.5777E-04  0.0356   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0351E-03   1.1482E-03   0.0000E+00  0.0000   3.0159E-05  1.0000   0.0000E+00  0.0000
   1.1482E-03   1.2735E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2735E-03   1.4125E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4125E-03   1.5668E-03   0.0000E+00  0.0000   3.0159E-05  1.0000   0.0000E+00  0.0000
   1.5668E-03   1.7378E-03   0.0000E+00  0.0000   3.0159E-05  1.0000   0.0000E+00  0.0000
   1.7378E-03   1.9275E-03   0.0000E+00  0.0000   3.0159E-05  1.0000   0.0000E+00  0.0000
   1.9275E-03   2.1380E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.1380E-03   2.3714E-03   0.0000E+00  0.0000   3.0159E-05  1.0000   0.0000E+00  0.0000
   2.3714E-03   2.6303E-03   0.0000E+00  0.0000   6.0318E-05  0.7071   0.0000E+00  0.0000
   2.6303E-03   2.9174E-03   0.0000E+00  0.0000   6.0318E-05  0.7071   0.0000E+00  0.0000
   2.9174E-03   3.2359E-03   0.0000E+00  0.0000   3.0159E-05  1.0000   0.0000E+00  0.0000
   3.2359E-03   3.5892E-03   0.0000E+00  0.0000   6.0318E-05  0.7071   0.0000E+00  0.0000
   3.5892E-03   3.9811E-03   0.0000E+00  0.0000   6.0318E-05  0.7071   0.0000E+00  0.0000
   3.9811E-03   4.4157E-03   0.0000E+00  0.0000   1.2064E-04  0.5000   0.0000E+00  0.0000
   4.4157E-03   4.8978E-03   0.0000E+00  0.0000   9.0477E-05  0.5773   0.0000E+00  0.0000
   4.8978E-03   5.4325E-03   0.0000E+00  0.0000   9.0477E-05  0.5773   0.0000E+00  0.0000
   5.4325E-03   6.0256E-03   0.0000E+00  0.0000   6.0318E-05  0.7071   0.0000E+00  0.0000
   6.0256E-03   6.6834E-03   0.0000E+00  0.0000   1.5079E-04  0.4472   0.0000E+00  0.0000
   6.6834E-03   7.4131E-03   0.0000E+00  0.0000   1.8095E-04  0.4082   0.0000E+00  0.0000
   7.4131E-03   8.2224E-03   0.0000E+00  0.0000   3.3175E-04  0.3015   0.0000E+00  0.0000
   8.2224E-03   9.1201E-03   0.0000E+00  0.0000   4.2222E-04  0.2672   0.0000E+00  0.0000
   9.1201E-03   1.0116E-02   0.0000E+00  0.0000   2.4127E-04  0.3535   1.9525E-03  0.3162
   1.0116E-02   1.1220E-02   0.0000E+00  0.0000   3.6191E-04  0.2886   1.4991E-02  0.1131
   1.1220E-02   1.2445E-02   0.0000E+00  0.0000   3.3175E-04  0.3015   1.6129E-02  0.1059
   1.2445E-02   1.3804E-02   0.0000E+00  0.0000   4.8254E-04  0.2499   1.2349E-02  0.1177
   1.3804E-02   1.5311E-02   0.0000E+00  0.0000   4.2222E-04  0.2672   1.6122E-02  0.1004
   1.5311E-02   1.6982E-02   0.0000E+00  0.0000   5.4286E-04  0.2356   1.0796E-02  0.1194
   1.6982E-02   1.8836E-02   0.0000E+00  0.0000   4.8254E-04  0.2499   1.1641E-02  0.1117
   1.8836E-02   2.0893E-02   0.0000E+00  0.0000   1.0556E-03  0.1689   1.0758E-02  0.1131
   2.0893E-02   2.3174E-02   0.0000E+00  0.0000   1.1460E-03  0.1621   9.9229E-03  0.1146
   2.3174E-02   2.5704E-02   0.0000E+00  0.0000   1.3572E-03  0.1490   9.0343E-03  0.1169
   2.5704E-02   2.8510E-02   0.0000E+00  0.0000   1.4175E-03  0.1458   8.1871E-03  0.1194
   2.8510E-02   3.1623E-02   0.0000E+00  0.0000   2.0508E-03  0.1211   8.1953E-03  0.1161
   3.1623E-02   3.5075E-02   0.0000E+00  0.0000   2.5635E-03  0.1083   8.4405E-03  0.1110
   3.5075E-02   3.8905E-02   0.0000E+00  0.0000   3.3476E-03  0.0948   6.9960E-03  0.1186
   3.8905E-02   4.3152E-02   0.0000E+00  0.0000   3.7699E-03  0.0893   7.0774E-03  0.1146
   4.3152E-02   4.7863E-02   0.0000E+00  0.0000   5.2175E-03  0.0758   5.0484E-03  0.1324
   4.7863E-02   5.3088E-02   0.0000E+00  0.0000   6.7858E-03  0.0664   5.7643E-03  0.1203
   5.3088E-02   5.8884E-02   0.0000E+00  0.0000   9.6810E-03  0.0555   5.7317E-03  0.1169
   5.8884E-02   6.5313E-02   0.0000E+00  0.0000   9.5905E-03  0.0558   5.7853E-03  0.1131
   6.5313E-02   7.2444E-02   0.0000E+00  0.0000   1.4386E-02  0.0455   5.8153E-03  0.1097
   7.2444E-02   8.0353E-02   0.0000E+00  0.0000   1.4506E-02  0.0453   5.3615E-03  0.1110
   8.0353E-02   8.9125E-02   0.0000E+00  0.0000   2.0206E-02  0.0382   5.0450E-03  0.1110
   8.9125E-02   9.8855E-02   0.0000E+00  0.0000   2.3524E-02  0.0354   4.2888E-03  0.1169
   9.8855E-02   1.0965E-01   0.0000E+00  0.0000   2.6359E-02  0.0334   4.5366E-03  0.1103
   1.0965E-01   1.2162E-01   0.0000E+00  0.0000   2.6751E-02  0.0331   4.8008E-03  0.1041
   1.2162E-01   1.3490E-01   0.0000E+00  0.0000   2.6268E-02  0.0334   3.5830E-03  0.1169
   1.3490E-01   1.4962E-01   0.0000E+00  0.0000   2.1805E-02  0.0368   3.3613E-03  0.1169
   1.4962E-01   1.6596E-01   0.0000E+00  0.0000   1.5110E-02  0.0443   3.4208E-03  0.1124
   1.6596E-01   1.8408E-01   0.0000E+00  0.0000   9.1382E-03  0.0572   2.5383E-03  0.1269
   1.8408E-01   2.0417E-01   0.0000E+00  0.0000   4.6445E-03  0.0804   2.8614E-03  0.1161
   2.0417E-01   2.2646E-01   0.0000E+00  0.0000   1.3270E-03  0.1507   2.7391E-03  0.1146
   2.2646E-01   2.5119E-01   0.0000E+00  0.0000   3.3175E-04  0.3015   2.8102E-03  0.1096
