h: n            x            y(proton  ),hh0l  n  y(photon  ),hh0dr n  y(neutron ),hh0mb n  
#  a-lower      a-upper        number    r.err      number    r.err      number    r.err 
   3.6000E-01   3.7000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.8692E-04  0.9957
   3.7000E-01   3.8000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   2.9907E-03  0.8275
   3.8000E-01   3.9000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   4.0570E-03  0.7379
   3.9000E-01   4.0000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.4560E-03  0.8160
   4.0000E-01   4.1000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.9747E-03  0.8104
   4.1000E-01   4.2000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   5.4143E-03  0.6492
   4.2000E-01   4.3000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   7.2302E-03  0.5306
   4.3000E-01   4.4000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   3.6243E-03  0.6761
   4.4000E-01   4.5000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.5108E-03  0.7858
   4.5000E-01   4.6000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.8660E-03  0.6351
   4.6000E-01   4.7000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.4230E-03  0.5758
   4.7000E-01   4.8000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   7.1066E-03  0.4900
   4.8000E-01   4.9000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.6076E-02  0.3339
   4.9000E-01   5.0000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   4.8905E-03  0.4586
   5.0000E-01   5.1000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.3046E-02  0.3901
   5.1000E-01   5.2000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.3914E-02  0.3795
   5.2000E-01   5.3000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   2.3228E-02  0.2730
   5.3000E-01   5.4000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   2.3589E-02  0.2575
   5.4000E-01   5.5000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.8019E-02  0.3034
   5.5000E-01   5.6000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.6737E-02  0.2483
   5.6000E-01   5.7000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.9346E-02  0.3095
   5.7000E-01   5.8000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.7242E-02  0.2752
   5.8000E-01   5.9000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   2.3085E-02  0.2679
   5.9000E-01   6.0000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   2.0908E-02  0.2846
   6.0000E-01   6.1000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   3.8275E-02  0.2213
   6.1000E-01   6.2000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   2.5711E-02  0.2516
   6.2000E-01   6.3000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   2.1175E-02  0.2543
   6.3000E-01   6.4000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   3.6555E-02  0.2131
   6.4000E-01   6.5000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   5.0813E-02  0.1924
   6.5000E-01   6.6000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   5.9604E-02  0.1754
   6.6000E-01   6.7000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   4.7638E-02  0.2000
   6.7000E-01   6.8000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   4.9712E-02  0.1751
   6.8000E-01   6.9000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   4.1578E-02  0.1902
   6.9000E-01   7.0000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   6.5696E-02  0.1624
   7.0000E-01   7.1000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   3.4284E-02  0.2044
   7.1000E-01   7.2000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   8.9762E-02  0.1405
   7.2000E-01   7.3000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   6.0950E-02  0.1587
   7.3000E-01   7.4000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   7.7067E-02  0.1517
   7.4000E-01   7.5000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   7.9437E-02  0.1416
   7.5000E-01   7.6000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   9.5378E-02  0.1314
   7.6000E-01   7.7000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   6.9402E-02  0.1490
   7.7000E-01   7.8000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   9.6089E-02  0.1382
   7.8000E-01   7.9000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   9.3650E-02  0.1341
   7.9000E-01   8.0000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   8.4231E-02  0.1423
   8.0000E-01   8.1000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0706E-01  0.1279
   8.1000E-01   8.2000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   9.7744E-02  0.1280
   8.2000E-01   8.3000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   9.5283E-02  0.1322
   8.3000E-01   8.4000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.2140E-01  0.1206
   8.4000E-01   8.5000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.2183E-01  0.1174
   8.5000E-01   8.6000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.2261E-01  0.1174
   8.6000E-01   8.7000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.1722E-01  0.1209
   8.7000E-01   8.8000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.4227E-01  0.1134
   8.8000E-01   8.9000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.2868E-01  0.1101
   8.9000E-01   9.0000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.5521E-01  0.1056
   9.0000E-01   9.1000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.2982E-01  0.1044
   9.1000E-01   9.2000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0579E-01  0.1234
   9.2000E-01   9.3000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.3150E-01  0.1118
   9.3000E-01   9.4000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.4173E-01  0.1100
   9.4000E-01   9.5000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.7025E-01  0.0967
   9.5000E-01   9.6000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.6926E-01  0.1044
   9.6000E-01   9.7000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.6646E-01  0.1061
   9.7000E-01   9.8000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.3181E-01  0.1128
   9.8000E-01   9.9000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.5507E-01  0.1046
   9.9000E-01   1.0000E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   1.2857E-01  0.1075

#   sum over                 0.0000E+00  0.0000   0.0000E+00  0.0000   2.5855E-01  0.0202

'no. =  1,    (ir,iz) = (  1,  1),    e =  1'
msuc: {\huge [t-product] in r-z mesh}
msdl: {\it plotted by \ANGEL \version}
msdr: {\it calculated by \PHITS  2.30}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.0000E+00 [cm^3]
  rmin  &=&   0.0000E+00 [cm]
  rmax  &=&   5.0000E+02 [cm]
  zmin  &=&   0.0000E+00 [cm]
  zmax  &=&   5.0000E+01 [cm]
  emin  &=&   1.0000E-06 [MeV]
  emax  &=&   1.0000E+03 [MeV]
e:
