   1.0780E-01   1.0890E-01   0.0000E+00  0.0000
   1.0890E-01   1.1000E-01   0.0000E+00  0.0000
   1.1000E-01   1.1110E-01   0.0000E+00  0.0000
   1.1110E-01   1.1220E-01   0.0000E+00  0.0000
   1.1220E-01   1.1330E-01   0.0000E+00  0.0000
   1.1330E-01   1.1440E-01   0.0000E+00  0.0000
   1.1440E-01   1.1550E-01   0.0000E+00  0.0000
   1.1550E-01   1.1660E-01   0.0000E+00  0.0000
   1.1660E-01   1.1770E-01   0.0000E+00  0.0000
   1.1770E-01   1.1880E-01   0.0000E+00  0.0000
   1.1880E-01   1.1990E-01   0.0000E+00  0.0000
   1.1990E-01   1.2100E-01   0.0000E+00  0.0000
   1.2100E-01   1.2210E-01   0.0000E+00  0.0000
   1.2210E-01   1.2320E-01   0.0000E+00  0.0000
   1.2320E-01   1.2430E-01   0.0000E+00  0.0000
   1.2430E-01   1.2540E-01   0.0000E+00  0.0000
   1.2540E-01   1.2650E-01   0.0000E+00  0.0000
   1.2650E-01   1.2760E-01   0.0000E+00  0.0000
   1.2760E-01   1.2870E-01   0.0000E+00  0.0000
   1.2870E-01   1.2980E-01   0.0000E+00  0.0000
   1.2980E-01   1.3090E-01   0.0000E+00  0.0000
   1.3090E-01   1.3200E-01   0.0000E+00  0.0000
   1.3200E-01   1.3310E-01   0.0000E+00  0.0000
   1.3310E-01   1.3420E-01   0.0000E+00  0.0000
   1.3420E-01   1.3530E-01   0.0000E+00  0.0000
   1.3530E-01   1.3640E-01   0.0000E+00  0.0000
   1.3640E-01   1.3750E-01   0.0000E+00  0.0000
   1.3750E-01   1.3860E-01   0.0000E+00  0.0000
   1.3860E-01   1.3970E-01   0.0000E+00  0.0000
   1.3970E-01   1.4080E-01   0.0000E+00  0.0000
   1.4080E-01   1.4190E-01   0.0000E+00  0.0000
   1.4190E-01   1.4300E-01   0.0000E+00  0.0000
   1.4300E-01   1.4410E-01   0.0000E+00  0.0000
   1.4410E-01   1.4520E-01   0.0000E+00  0.0000
   1.4520E-01   1.4630E-01   0.0000E+00  0.0000
   1.4630E-01   1.4740E-01   0.0000E+00  0.0000
   1.4740E-01   1.4850E-01   0.0000E+00  0.0000
   1.4850E-01   1.4960E-01   0.0000E+00  0.0000
   1.4960E-01   1.5070E-01   0.0000E+00  0.0000
   1.5070E-01   1.5180E-01   0.0000E+00  0.0000
   1.5180E-01   1.5290E-01   0.0000E+00  0.0000
   1.5290E-01   1.5400E-01   0.0000E+00  0.0000
   1.5400E-01   1.5510E-01   0.0000E+00  0.0000
   1.5510E-01   1.5620E-01   0.0000E+00  0.0000
   1.5620E-01   1.5730E-01   0.0000E+00  0.0000
   1.5730E-01   1.5840E-01   0.0000E+00  0.0000
   1.5840E-01   1.5950E-01   0.0000E+00  0.0000
   1.5950E-01   1.6060E-01   0.0000E+00  0.0000
   1.6060E-01   1.6170E-01   0.0000E+00  0.0000
   1.6170E-01   1.6280E-01   0.0000E+00  0.0000
   1.6280E-01   1.6390E-01   0.0000E+00  0.0000
   1.6390E-01   1.6500E-01   0.0000E+00  0.0000
   1.6500E-01   1.6610E-01   0.0000E+00  0.0000
   1.6610E-01   1.6720E-01   0.0000E+00  0.0000
   1.6720E-01   1.6830E-01   0.0000E+00  0.0000
   1.6830E-01   1.6940E-01   0.0000E+00  0.0000
   1.6940E-01   1.7050E-01   0.0000E+00  0.0000
   1.7050E-01   1.7160E-01   0.0000E+00  0.0000
   1.7160E-01   1.7270E-01   0.0000E+00  0.0000
   1.7270E-01   1.7380E-01   0.0000E+00  0.0000
   1.7380E-01   1.7490E-01   0.0000E+00  0.0000
   1.7490E-01   1.7600E-01   0.0000E+00  0.0000
   1.7600E-01   1.7710E-01   0.0000E+00  0.0000
   1.7710E-01   1.7820E-01   0.0000E+00  0.0000
   1.7820E-01   1.7930E-01   0.0000E+00  0.0000
   1.7930E-01   1.8040E-01   0.0000E+00  0.0000
   1.8040E-01   1.8150E-01   0.0000E+00  0.0000
   1.8150E-01   1.8260E-01   0.0000E+00  0.0000
   1.8260E-01   1.8370E-01   0.0000E+00  0.0000
   1.8370E-01   1.8480E-01   0.0000E+00  0.0000
   1.8480E-01   1.8590E-01   0.0000E+00  0.0000
   1.8590E-01   1.8700E-01   0.0000E+00  0.0000
   1.8700E-01   1.8810E-01   0.0000E+00  0.0000
   1.8810E-01   1.8920E-01   0.0000E+00  0.0000
   1.8920E-01   1.9030E-01   0.0000E+00  0.0000
   1.9030E-01   1.9140E-01   0.0000E+00  0.0000
   1.9140E-01   1.9250E-01   0.0000E+00  0.0000
   1.9250E-01   1.9360E-01   0.0000E+00  0.0000
   1.9360E-01   1.9470E-01   0.0000E+00  0.0000
   1.9470E-01   1.9580E-01   0.0000E+00  0.0000
   1.9580E-01   1.9690E-01   0.0000E+00  0.0000
   1.9690E-01   1.9800E-01   0.0000E+00  0.0000
   1.9800E-01   1.9910E-01   0.0000E+00  0.0000
   1.9910E-01   2.0020E-01   0.0000E+00  0.0000
   2.0020E-01   2.0130E-01   0.0000E+00  0.0000
   2.0130E-01   2.0240E-01   0.0000E+00  0.0000
   2.0240E-01   2.0350E-01   0.0000E+00  0.0000
   2.0350E-01   2.0460E-01   0.0000E+00  0.0000
   2.0460E-01   2.0570E-01   0.0000E+00  0.0000
   2.0570E-01   2.0680E-01   0.0000E+00  0.0000
   2.0680E-01   2.0790E-01   0.0000E+00  0.0000
   2.0790E-01   2.0900E-01   0.0000E+00  0.0000
   2.0900E-01   2.1010E-01   0.0000E+00  0.0000
   2.1010E-01   2.1120E-01   0.0000E+00  0.0000
   2.1120E-01   2.1230E-01   0.0000E+00  0.0000
   2.1230E-01   2.1340E-01   0.0000E+00  0.0000
   2.1340E-01   2.1450E-01   0.0000E+00  0.0000
   2.1450E-01   2.1560E-01   0.0000E+00  0.0000
   2.1560E-01   2.1670E-01   0.0000E+00  0.0000
   2.1670E-01   2.1780E-01   0.0000E+00  0.0000
   2.1780E-01   2.1890E-01   0.0000E+00  0.0000
   2.1890E-01   2.2000E-01   0.0000E+00  0.0000
   2.2000E-01   2.2110E-01   0.0000E+00  0.0000
   2.2110E-01   2.2220E-01   0.0000E+00  0.0000
   2.2220E-01   2.2330E-01   0.0000E+00  0.0000
   2.2330E-01   2.2440E-01   0.0000E+00  0.0000
   2.2440E-01   2.2550E-01   0.0000E+00  0.0000
   2.2550E-01   2.2660E-01   0.0000E+00  0.0000
   2.2660E-01   2.2770E-01   0.0000E+00  0.0000
   2.2770E-01   2.2880E-01   0.0000E+00  0.0000
   2.2880E-01   2.2990E-01   0.0000E+00  0.0000
   2.2990E-01   2.3100E-01   0.0000E+00  0.0000
   2.3100E-01   2.3210E-01   0.0000E+00  0.0000
   2.3210E-01   2.3320E-01   0.0000E+00  0.0000
