   6.0588E+01   6.0599E+01   0.0000E+00  0.0000
   6.0599E+01   6.0609E+01   0.0000E+00  0.0000
   6.0609E+01   6.0619E+01   0.0000E+00  0.0000
   6.0619E+01   6.0630E+01   0.0000E+00  0.0000
   6.0630E+01   6.0640E+01   0.0000E+00  0.0000
   6.0640E+01   6.0651E+01   0.0000E+00  0.0000
   6.0651E+01   6.0661E+01   0.0000E+00  0.0000
   6.0661E+01   6.0672E+01   0.0000E+00  0.0000
   6.0672E+01   6.0682E+01   0.0000E+00  0.0000
   6.0682E+01   6.0693E+01   0.0000E+00  0.0000
   6.0693E+01   6.0703E+01   0.0000E+00  0.0000
   6.0703E+01   6.0714E+01   0.0000E+00  0.0000
   6.0714E+01   6.0724E+01   0.0000E+00  0.0000
   6.0724E+01   6.0735E+01   0.0000E+00  0.0000
   6.0735E+01   6.0745E+01   0.0000E+00  0.0000
   6.0745E+01   6.0756E+01   0.0000E+00  0.0000
   6.0756E+01   6.0767E+01   0.0000E+00  0.0000
   6.0767E+01   6.0777E+01   0.0000E+00  0.0000
   6.0777E+01   6.0787E+01   0.0000E+00  0.0000
   6.0787E+01   6.0798E+01   0.0000E+00  0.0000
   6.0798E+01   6.0808E+01   0.0000E+00  0.0000
   6.0808E+01   6.0819E+01   0.0000E+00  0.0000
   6.0819E+01   6.0829E+01   0.0000E+00  0.0000
   6.0829E+01   6.0840E+01   0.0000E+00  0.0000
   6.0840E+01   6.0850E+01   0.0000E+00  0.0000
   6.0850E+01   6.0861E+01   0.0000E+00  0.0000
   6.0861E+01   6.0871E+01   0.0000E+00  0.0000
   6.0871E+01   6.0882E+01   0.0000E+00  0.0000
   6.0882E+01   6.0892E+01   0.0000E+00  0.0000
   6.0892E+01   6.0903E+01   0.0000E+00  0.0000
   6.0903E+01   6.0913E+01   0.0000E+00  0.0000
   6.0913E+01   6.0924E+01   0.0000E+00  0.0000
   6.0924E+01   6.0934E+01   0.0000E+00  0.0000
   6.0934E+01   6.0945E+01   0.0000E+00  0.0000
   6.0945E+01   6.0956E+01   0.0000E+00  0.0000
   6.0956E+01   6.0966E+01   0.0000E+00  0.0000
   6.0966E+01   6.0976E+01   0.0000E+00  0.0000
   6.0976E+01   6.0987E+01   0.0000E+00  0.0000
   6.0987E+01   6.0997E+01   0.0000E+00  0.0000
   6.0997E+01   6.1008E+01   0.0000E+00  0.0000
   6.1008E+01   6.1018E+01   0.0000E+00  0.0000
   6.1018E+01   6.1029E+01   0.0000E+00  0.0000
   6.1029E+01   6.1039E+01   0.0000E+00  0.0000
   6.1039E+01   6.1050E+01   0.0000E+00  0.0000

#   sum over    8.2467E-01   6.6591E-03  0.0202

'no. =  1,  ir =  1'
msuc: {\huge Bragg peak in pouch}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.35}
wt: s(0.7)
\vspace{-3}
  rmin  &=&   0.0000E+00 [cm]
  rmax  &=&   5.0000E-01 [cm]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 1.60217700001159249E-03 # Total source weight or Total source weight / maxcas
# resc3  = 1.00000000000000000E+07 # Total history number or Total batch number
# maxcas =       10000 # History / Batch, only used for istdev=1
# bitrseed = 1000110000001000111111101100101001110101110010000011011101101000 # bit data of rseed
