   5.6000E-01   5.7000E-01   7.3402E-03  0.0186
   5.7000E-01   5.8000E-01   7.2001E-03  0.0185
   5.8000E-01   5.9000E-01   7.4428E-03  0.0181
   5.9000E-01   6.0000E-01   7.5564E-03  0.0179
   6.0000E-01   6.1000E-01   7.5082E-03  0.0179
   6.1000E-01   6.2000E-01   7.3400E-03  0.0178
   6.2000E-01   6.3000E-01   7.2269E-03  0.0178
   6.3000E-01   6.4000E-01   7.3390E-03  0.0176
   6.4000E-01   6.5000E-01   7.3907E-03  0.0174
   6.5000E-01   6.6000E-01   7.3450E-03  0.0173
   6.6000E-01   6.7000E-01   7.2640E-03  0.0172
   6.7000E-01   6.8000E-01   7.2725E-03  0.0171
   6.8000E-01   6.9000E-01   7.2631E-03  0.0169
   6.9000E-01   7.0000E-01   7.5805E-03  0.0165
   7.0000E-01   7.1000E-01   7.3505E-03  0.0166
   7.1000E-01   7.2000E-01   7.3974E-03  0.0165
   7.2000E-01   7.3000E-01   7.2207E-03  0.0165
   7.3000E-01   7.4000E-01   7.6473E-03  0.0161
   7.4000E-01   7.5000E-01   7.4994E-03  0.0161
   7.5000E-01   7.6000E-01   7.2447E-03  0.0162
   7.6000E-01   7.7000E-01   7.3214E-03  0.0160
   7.7000E-01   7.8000E-01   7.4305E-03  0.0158
   7.8000E-01   7.9000E-01   7.3954E-03  0.0157
   7.9000E-01   8.0000E-01   7.6214E-03  0.0154
   8.0000E-01   8.1000E-01   7.3769E-03  0.0155
   8.1000E-01   8.2000E-01   7.3882E-03  0.0154
   8.2000E-01   8.3000E-01   7.5224E-03  0.0152
   8.3000E-01   8.4000E-01   7.4876E-03  0.0151
   8.4000E-01   8.5000E-01   7.5639E-03  0.0150
   8.5000E-01   8.6000E-01   7.5616E-03  0.0149
   8.6000E-01   8.7000E-01   7.4263E-03  0.0149
   8.7000E-01   8.8000E-01   7.6673E-03  0.0146
   8.8000E-01   8.9000E-01   7.4707E-03  0.0146
   8.9000E-01   9.0000E-01   7.5739E-03  0.0145
   9.0000E-01   9.1000E-01   7.5089E-03  0.0145
   9.1000E-01   9.2000E-01   7.3113E-03  0.0146
   9.2000E-01   9.3000E-01   7.4076E-03  0.0145
   9.3000E-01   9.4000E-01   7.4016E-03  0.0144
