   9.8560E+01   9.8570E+01   6.1240E-03  0.0069
   9.8570E+01   9.8580E+01   7.2912E-03  0.0076
   9.8580E+01   9.8590E+01   3.7080E-03  0.0095
   9.8590E+01   9.8600E+01   2.6197E-05  0.0813
   9.8600E+01   9.8610E+01   0.0000E+00  0.0000
   9.8610E+01   9.8620E+01   0.0000E+00  0.0000
   9.8620E+01   9.8630E+01   0.0000E+00  0.0000
   9.8630E+01   9.8640E+01   0.0000E+00  0.0000
   9.8640E+01   9.8650E+01   0.0000E+00  0.0000
   9.8650E+01   9.8660E+01   0.0000E+00  0.0000
   9.8660E+01   9.8670E+01   0.0000E+00  0.0000
   9.8670E+01   9.8680E+01   0.0000E+00  0.0000
   9.8680E+01   9.8690E+01   0.0000E+00  0.0000
   9.8690E+01   9.8700E+01   0.0000E+00  0.0000
   9.8700E+01   9.8710E+01   0.0000E+00  0.0000
   9.8710E+01   9.8720E+01   0.0000E+00  0.0000
   9.8720E+01   9.8730E+01   0.0000E+00  0.0000
   9.8730E+01   9.8740E+01   0.0000E+00  0.0000
   9.8740E+01   9.8750E+01   0.0000E+00  0.0000
   9.8750E+01   9.8760E+01   0.0000E+00  0.0000
   9.8760E+01   9.8770E+01   0.0000E+00  0.0000
   9.8770E+01   9.8780E+01   0.0000E+00  0.0000
   9.8780E+01   9.8790E+01   0.0000E+00  0.0000
   9.8790E+01   9.8800E+01   0.0000E+00  0.0000
   9.8800E+01   9.8810E+01   0.0000E+00  0.0000
   9.8810E+01   9.8820E+01   0.0000E+00  0.0000
   9.8820E+01   9.8830E+01   0.0000E+00  0.0000
   9.8830E+01   9.8840E+01   0.0000E+00  0.0000
   9.8840E+01   9.8850E+01   0.0000E+00  0.0000
   9.8850E+01   9.8860E+01   0.0000E+00  0.0000
   9.8860E+01   9.8870E+01   0.0000E+00  0.0000
   9.8870E+01   9.8880E+01   0.0000E+00  0.0000
   9.8880E+01   9.8890E+01   0.0000E+00  0.0000
   9.8890E+01   9.8900E+01   0.0000E+00  0.0000
   9.8900E+01   9.8910E+01   0.0000E+00  0.0000
   9.8910E+01   9.8920E+01   0.0000E+00  0.0000
   9.8920E+01   9.8930E+01   0.0000E+00  0.0000
   9.8930E+01   9.8940E+01   0.0000E+00  0.0000
   9.8940E+01   9.8950E+01   0.0000E+00  0.0000
   9.8950E+01   9.8960E+01   0.0000E+00  0.0000
   9.8960E+01   9.8970E+01   0.0000E+00  0.0000
   9.8970E+01   9.8980E+01   0.0000E+00  0.0000
   9.8980E+01   9.8990E+01   0.0000E+00  0.0000
   9.8990E+01   9.9000E+01   0.0000E+00  0.0000

#   sum over    7.8540E-01   3.7765E-03  0.0043

'no. =  1,  ir =  1'
msuc: {\huge Bragg peak in pouch}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.35}
wt: s(0.7)
\vspace{-3}
  rmin  &=&   0.0000E+00 [cm]
  rmax  &=&   5.0000E-01 [cm]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 8.43385973868316235E-02 # Total source weight or Total source weight / maxcas
# resc3  = 5.26400000000000000E+08 # Total history number or Total batch number
# maxcas =      100000 # History / Batch, only used for istdev=1
# bitrseed = 0001111110111011110001111001110111111010110110100011110000001000 # bit data of rseed
