[ T-Track ]
    title = energy spectrum in lead plate
     mesh =  reg            # mesh type is region-wise
      reg = 400
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =  1.0000000E-03  # minimum value of e-mesh points
     emax =   200.0000      # maximum value of e-mesh points
#    edel =   1.999990      # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-03  2.00099E+00  4.00098E+00  6.00097E+00  8.00096E+00
#           1.00009E+01  1.20009E+01  1.40009E+01  1.60009E+01  1.80009E+01
#           2.00009E+01  2.20009E+01  2.40009E+01  2.60009E+01  2.80009E+01
#           3.00008E+01  3.20008E+01  3.40008E+01  3.60008E+01  3.80008E+01
#           4.00008E+01  4.20008E+01  4.40008E+01  4.60008E+01  4.80008E+01
#           5.00007E+01  5.20007E+01  5.40007E+01  5.60007E+01  5.80007E+01
#           6.00007E+01  6.20007E+01  6.40007E+01  6.60007E+01  6.80007E+01
#           7.00007E+01  7.20006E+01  7.40006E+01  7.60006E+01  7.80006E+01
#           8.00006E+01  8.20006E+01  8.40006E+01  8.60006E+01  8.80006E+01
#           9.00006E+01  9.20005E+01  9.40005E+01  9.60005E+01  9.80005E+01
#           1.00001E+02  1.02000E+02  1.04000E+02  1.06000E+02  1.08000E+02
#           1.10000E+02  1.12000E+02  1.14000E+02  1.16000E+02  1.18000E+02
#           1.20000E+02  1.22000E+02  1.24000E+02  1.26000E+02  1.28000E+02
#           1.30000E+02  1.32000E+02  1.34000E+02  1.36000E+02  1.38000E+02
#           1.40000E+02  1.42000E+02  1.44000E+02  1.46000E+02  1.48000E+02
#           1.50000E+02  1.52000E+02  1.54000E+02  1.56000E+02  1.58000E+02
#           1.60000E+02  1.62000E+02  1.64000E+02  1.66000E+02  1.68000E+02
#           1.70000E+02  1.72000E+02  1.74000E+02  1.76000E+02  1.78000E+02
#           1.80000E+02  1.82000E+02  1.84000E+02  1.86000E+02  1.88000E+02
#           1.90000E+02  1.92000E+02  1.94000E+02  1.96000E+02  1.98000E+02
#           2.00000E+02
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = spectrum_lead.out  # file name of output for the above axis
     part =  proton     neutron  
# kf/name :  2212       2112     
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         107 (  0)           0 (  0)         107 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    400

x: Energy [MeV]
y: Flux [1/cm^2/source]              
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(proton  ),hh0l n  y(neutron ),hh0dr n  
#  e-lower      e-upper        proton    r.err      neutron   r.err 
   8.6001E+01   8.8001E+01   1.9942E-04  0.1504   1.4769E-04  0.7163
   8.8001E+01   9.0001E+01   2.0671E-04  0.1456   1.8430E-04  0.6673
   9.0001E+01   9.2001E+01   2.1299E-04  0.1462   3.3421E-04  0.6150
   9.2001E+01   9.4001E+01   1.9962E-04  0.1528   3.5374E-04  0.5110
   9.4001E+01   9.6001E+01   1.7771E-04  0.1603   2.2390E-04  0.5808
   9.6001E+01   9.8001E+01   1.7616E-04  0.1645   1.5378E-04  0.6506
   9.8001E+01   1.0000E+02   1.5732E-04  0.1726   1.3579E-04  0.9596
   1.0000E+02   1.0200E+02   1.5269E-04  0.1779   1.5260E-04  0.5925
   1.0200E+02   1.0400E+02   1.6080E-04  0.1726   2.5054E-04  0.5965
   1.0400E+02   1.0600E+02   1.5688E-04  0.1784   3.3379E-04  0.4737
   1.0600E+02   1.0800E+02   1.5934E-04  0.1789   3.9336E-05  1.0000
   1.0800E+02   1.1000E+02   1.5353E-04  0.1813   1.0049E-04  1.0000
   1.1000E+02   1.1200E+02   1.4231E-04  0.1901   0.0000E+00  0.0000
   1.1200E+02   1.1400E+02   1.5770E-04  0.1824   0.0000E+00  0.0000
   1.1400E+02   1.1600E+02   2.0698E-04  0.1562   1.0034E-04  0.8102
   1.1600E+02   1.1800E+02   3.1633E-02  0.0024   8.9898E-05  0.7321
   1.1800E+02   1.2000E+02   5.3149E-02  0.0023   0.0000E+00  0.0000
   1.2000E+02   1.2200E+02   5.3871E-02  0.0022   8.5801E-05  1.0000
   1.2200E+02   1.2400E+02   5.4585E-02  0.0022   1.6870E-04  0.7094
   1.2400E+02   1.2600E+02   5.5292E-02  0.0021   9.0171E-05  1.0000
   1.2600E+02   1.2800E+02   5.6030E-02  0.0020   0.0000E+00  0.0000
   1.2800E+02   1.3000E+02   5.6806E-02  0.0020   8.8158E-05  1.0000
   1.3000E+02   1.3200E+02   5.7516E-02  0.0019   5.4304E-05  1.0000
   1.3200E+02   1.3400E+02   5.8267E-02  0.0018   1.1135E-04  0.9893
   1.3400E+02   1.3600E+02   5.9046E-02  0.0017   0.0000E+00  0.0000
   1.3600E+02   1.3800E+02   5.9848E-02  0.0016   0.0000E+00  0.0000
   1.3800E+02   1.4000E+02   6.0691E-02  0.0014   0.0000E+00  0.0000
   1.4000E+02   1.4200E+02   6.1528E-02  0.0012   0.0000E+00  0.0000
   1.4200E+02   1.4400E+02   6.2291E-02  0.0011   0.0000E+00  0.0000
   1.4400E+02   1.4600E+02   6.3015E-02  0.0010   0.0000E+00  0.0000
   1.4600E+02   1.4800E+02   6.3797E-02  0.0007   0.0000E+00  0.0000
   1.4800E+02   1.5000E+02   6.4580E-02  0.0004   0.0000E+00  0.0000
   1.5000E+02   1.5200E+02   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5200E+02   1.5400E+02   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5400E+02   1.5600E+02   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5600E+02   1.5800E+02   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5800E+02   1.6000E+02   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.6000E+02   1.6200E+02   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.6200E+02   1.6400E+02   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.6400E+02   1.6600E+02   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.6600E+02   1.6800E+02   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.6800E+02   1.7000E+02   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.7000E+02   1.7200E+02   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.7200E+02   1.7400E+02   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.7400E+02   1.7600E+02   0.0000E+00  0.0000   0.0000E+00  0.0000
