h: n            x            y(all     ),hh0l  n  y(proton  ),hh0dr n  y(nucleus ),hh0mb n  y(electron),hh0ug n  y(alpha   ),hh0pc n  y(pion+   ),hh0q  n  
#  e-lower      e-upper     deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err 
   3.3113E-01   4.3652E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   2.8000E-02  0.1863   3.0000E-03  0.5765   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.3652E-01   5.7544E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   4.5000E-02  0.1457   6.0000E-03  0.4070   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.7544E-01   7.5858E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   3.3000E-02  0.1712   3.0000E-03  0.5765   1.0000E-03  0.9995   0.0000E+00  0.0000
   7.5858E-01   1.0000E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   4.9000E-02  0.1393   9.0000E-03  0.3318   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0000E+00   1.3183E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   4.4000E-02  0.1474   7.0000E-03  0.3766   1.0000E-03  0.9995   0.0000E+00  0.0000
   1.3183E+00   1.7378E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   3.6000E-02  0.1636   3.0000E-03  0.5765   2.0000E-03  0.7064   0.0000E+00  0.0000
   1.7378E+00   2.2909E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   3.2000E-02  0.1739   8.0000E-03  0.3521   5.0000E-03  0.4461   0.0000E+00  0.0000
   2.2909E+00   3.0200E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   2.7000E-02  0.1898   4.0000E-03  0.4990   6.0000E-03  0.4070   0.0000E+00  0.0000
   3.0200E+00   3.9811E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   3.2000E-02  0.1739   7.0000E-03  0.3766   1.0000E-02  0.3146   0.0000E+00  0.0000
   3.9811E+00   5.2481E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   1.9000E-02  0.2272   1.0000E-02  0.3146   1.1000E-02  0.2998   0.0000E+00  0.0000
   5.2481E+00   6.9183E+00   0.0000E+00  0.0000   1.0000E-03  0.9995   2.1000E-02  0.2159   3.0000E-03  0.5765   1.5000E-02  0.2563   0.0000E+00  0.0000
   6.9183E+00   9.1201E+00   1.0000E-03  0.9995   0.0000E+00  0.0000   1.6000E-02  0.2480   2.0000E-03  0.7064   5.0000E-03  0.4461   0.0000E+00  0.0000
   9.1201E+00   1.2023E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.3000E-02  0.2755   0.0000E+00  0.0000   6.0000E-03  0.4070   0.0000E+00  0.0000
   1.2023E+01   1.5849E+01   1.0000E-03  0.9995   2.0000E-03  0.7064   2.0000E-03  0.7064   0.0000E+00  0.0000   5.0000E-03  0.4461   0.0000E+00  0.0000
   1.5849E+01   2.0893E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0000E-03  0.9995   0.0000E+00  0.0000   7.0000E-03  0.3766   0.0000E+00  0.0000
   2.0893E+01   2.7542E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   2.0000E-03  0.7064   1.0000E-03  0.9995
   2.7542E+01   3.6308E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.6308E+01   4.7863E+01   2.0000E-03  0.7064   2.0000E-03  0.7064   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.7863E+01   6.3096E+01   1.1000E-02  0.2998   1.2000E-02  0.2869   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.3096E+01   8.3176E+01   1.0000E-02  0.3146   1.1000E-02  0.2998   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.3176E+01   1.0965E+02   2.6000E-02  0.1935   2.8000E-02  0.1863   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0965E+02   1.4454E+02   5.4000E-02  0.1324   5.9000E-02  0.1263   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4454E+02   1.9055E+02   1.0400E-01  0.0928   1.1000E-01  0.0899   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.9055E+02   2.5119E+02   1.1500E-01  0.0877   1.0700E-01  0.0914   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.5119E+02   3.3113E+02   6.7600E-01  0.0219   6.6800E-01  0.0223   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
