   2.212000000000000D+03   1.253006457835310D+01   1.000000000000000D+00  -4.535718293470658D+00   2.104105407617002D+00   2.646801926373900D+01  -2.256516691015342D-01   4.848871117742577D-01   8.449649774203132D-01
   2.112000000000000D+03   8.196077730002233D+01   1.000000000000000D+00   4.153547489165994D-02  -4.999827478236305D+00   2.406215485900593D+01   5.682108795700671D-01  -7.754336605836585D-01   2.753888784465310D-01
   2.112000000000000D+03   2.228531903204821D+01   1.000000000000000D+00  -4.922300139246080D+00  -8.780440466024858D-01   2.437992593263592D+01  -8.412979843766775D-01  -1.786980308707272D-01   5.101810612387178D-01
   2.112000000000000D+03   2.511201822681869D+00   1.000000000000000D+00  -4.970052753508974D+00  -5.464207511196487D-01   2.252640298663821D+01  -9.764566736720989D-01  -1.923637839522511D-01   9.761423597402026D-02
   2.112000000000000D+03   1.269497902028661D+00   1.000000000000000D+00  -4.962738875874622D+00  -6.092806077259643D-01   1.619258491406714D+01  -8.488428025520791D-01  -5.277164896433520D-01  -3.132416182485998D-02
   2.112000000000000D+03   1.325011905041640D+00   1.000000000000000D+00  -4.970751693341005D+00  -5.400255669684568D-01   2.245280053268138D+01  -9.600781864757248D-01  -2.661488599512921D-01   8.610842119160614D-02
   2.112000000000000D+03   3.431725031284727D+01   1.000000000000000D+00  -3.966512896486777D+00   3.044137882560011D+00   3.857253022774031D+01  -3.436767500606605D-01   5.430896962328654D-01   7.661200123436513D-01
   2.112000000000000D+03   2.013733008132124D+00   1.000000000000000D+00   6.317125455569151D-01   4.959933393454791D+00   4.090411597552761D+01  -5.030575459544113D-01   8.425048238482207D-01   1.926622102302459D-01
   2.112000000000000D+03   4.458364502818426D+00   1.000000000000000D+00  -4.899632866838946D+00   9.967937496120866D-01   3.718474096080239D+01  -9.699686440672719D-01  -2.161154875034157D-01   1.116016379246238D-01
   2.112000000000000D+03   1.810889107652542D+00   1.000000000000000D+00   3.720341416206175D+00   3.340517887391944D+00   3.583505006844314D+01   7.475946415894484D-01   5.331339081819501D-01  -3.960687917690362D-01
   2.112000000000000D+03   2.608097696943332D+00   1.000000000000000D+00   4.112988298336353D+00   2.843119284277219D+00   3.727462386366428D+01   7.854401765257499D-01   7.382213404906504D-02   6.145193419442879D-01
   2.112000000000000D+03   2.161525623967350D+00   1.000000000000000D+00   3.033055758730800D+00   3.974993430444250D+00   3.560082457253779D+01   1.220753469300183D-01   8.684918581487754D-01  -4.804367825231566D-01
   2.212000000000000D+03   1.804074504407811D+02   1.000000000000000D+00   1.184343119845200D+00  -4.857708449610000D+00   2.499771187894605D+01  -2.901198092794599D-03  -7.147323308360374D-01   6.993920776698226D-01
   2.112000000000000D+03   1.562058673763372D+02   1.000000000000000D+00   3.495284797310812D+00   3.575329941792822D+00   2.918809859929642D+01   2.499659534417058D-01   7.334897316853894D-01   6.320679042888305D-01
   2.112000000000000D+03   1.456343331049652D+00   1.000000000000000D+00   2.808011528446185D-01  -4.992108844793953D+00   3.449313953903668D+01  -5.118936939828084D-01  -6.005836409667221D-01  -6.142183131947391D-01
   2.112000000000000D+03   1.125862303040039D+01   1.000000000000000D+00   3.763367200090130D+00  -3.291970128394521D+00   2.681626610831444D+01   5.730067270786475D-01  -7.052313873556522D-01  -4.175068634298583D-01
   2.112000000000000D+03   2.349344032983568D+01   1.000000000000000D+00   4.077040651602612D+00  -2.894432505323521D+00   3.148658381352443D+01   1.309206783276627D-01  -2.809028377028545D-01   9.507646247924396D-01
   2.112000000000000D+03   2.271507537323882D+01   1.000000000000000D+00   4.861649913760060D+00  -1.168058271262048D+00   2.489973257636644D+01   9.248602227137209D-01  -1.463870783014244D-02  -3.800253631996030D-01
   2.112000000000000D+03   1.401350609108974D+01   1.000000000000000D+00   4.932753323519214D+00  -8.172788124107697D-01   2.664212686761281D+01   8.280182339188045D-01   1.611524075003099D-01   5.370434859998192D-01
   2.112000000000000D+03   7.362704026501412D+00   1.000000000000000D+00   4.958524714025533D+00   6.426761767309345D-01   2.483268986656162D+01   6.959141064642338D-01   6.520136109276476D-01  -3.009681172303430D-01
   2.112000000000000D+03   4.782575725727600D+00   1.000000000000000D+00   2.548616040439118D-01  -4.993500332548082D+00   2.703546874620659D+01  -3.034876690516759D-01  -8.539440459603499D-01   4.226994216963734D-01
   2.112000000000000D+03   1.311154846813452D+00   1.000000000000000D+00   4.997116282339986D+00   1.697906596487857D-01   2.613861596490189D+01   7.275180866856329D-01   1.778131692114238D-01   6.626461426736490D-01
   2.112000000000000D+03   6.191678169599646D+00   1.000000000000000D+00   3.998833155773486D+00  -3.001555163727029D+00   3.117211308768570D+01   5.050396876278027D-01  -7.613688279451902D-01   4.065125111902201D-01
   2.112000000000000D+03   1.596706323968192D+00   1.000000000000000D+00   3.914073406153912D+00  -3.111274558676606D+00   2.594497165125637D+01   3.096887102936409D-01  -9.329464849049434D-01   1.835858355651975D-01
   2.112000000000000D+03   2.343779487739339D+00   1.000000000000000D+00  -4.245763778838200D+00  -2.640736628731864D+00   2.792194495542017D+01  -9.178341376684651D-01  -4.293404050043076D-02   3.946354823082851D-01
   2.112000000000000D+03   1.251840021610178D+00   1.000000000000000D+00   9.192645099156747D-01  -4.914768841429474D+00   2.535876318358150D+01   8.697673438361534D-01  -2.316923062372802D-01  -4.356873223157327D-01
   2.112000000000000D+03   1.092126563707211D+00   1.000000000000000D+00   2.748345566180949D+00  -4.176912335478530D+00   2.810898539520348D+01   3.723269874469528D-01  -8.825445185150780D-01  -2.872068718844765D-01
   2.112000000000000D+03   8.773649229694072D+00   1.000000000000000D+00   3.895660608176055D+00  -3.134298714394315D+00   2.820619466018718D+01   4.341866449313866D-01  -2.816581060257546D-01   8.556580325534320D-01
   2.112000000000000D+03   1.202101168554123D+00   1.000000000000000D+00  -1.632782306732056D+00   4.725888482238106D+00   2.875392243967471D+01  -7.123140602962904D-01   5.715256775092659D-01   4.073905735922072D-01
   2.112000000000000D+03   1.322388865952479D+02   1.000000000000000D+00  -4.968016936924686D+00  -5.646306037188237D-01   3.168758068464577D+01  -4.366678350144642D-01   9.946499144423861D-02   8.941073298775591D-01
   2.112000000000000D+03   2.823530743509717D+00   1.000000000000000D+00   4.543538971670174D+00  -2.087164014241149D+00   5.224819587818703D+01   8.224506925250048D-01  -4.683899917403919D-01  -3.227780568789890D-01
   2.112000000000000D+03   3.125909907850655D+00   1.000000000000000D+00   2.704057538956710D+00  -4.205719062676399D+00   2.587443174897069D+01  -2.942387934049540D-02  -9.876303761812608D-01   1.540145297321556D-01
   2.112000000000000D+03   3.090283487985790D+00   1.000000000000000D+00  -1.841555563052164D+00  -4.648512999875321D+00   2.552517647857623D+01  -9.743243414213378D-01   1.904164773213571D-01  -1.201400968802739D-01
   2.112000000000000D+03   2.071984288715556D+01   1.000000000000000D+00   1.494771141572914D+00  -4.771337259269165D+00   2.089407669069491D+01  -1.441171437462398D-01  -8.174039151305030D-01   5.577464373779101D-01
   2.112000000000000D+03   8.611279045653951D+00   1.000000000000000D+00  -4.012129356597596D+00  -2.983759043991114D+00   1.866847904146315D+01  -8.808528471292525D-01   6.655690320195221D-02   4.686879989294108D-01
   2.112000000000000D+03   2.567850024664494D+00   1.000000000000000D+00   4.562719209801464D+00  -2.044894476469777D+00   2.127670465512471D+01   9.117407015345916D-01   2.279200324359813D-01   3.417328664023873D-01
   2.112000000000000D+03   5.749458931591067D+00   1.000000000000000D+00  -3.996452427829023D+00  -3.004724279440038D+00   2.673616639681572D+01  -3.685528976534344D-01  -6.841597498190966D-02   9.270857651795394D-01
   2.112000000000000D+03   5.193986263855810D+00   1.000000000000000D+00   4.551817119843059D+00  -2.069048310924895D+00   2.299937190070816D+01   6.609702535993668D-01   1.400913160154788D-01   7.372196057036468D-01
   2.112000000000000D+03   1.113208020886077D+00   1.000000000000000D+00   2.949527280778081D+00  -4.037361617363364D+00   2.091785469571272D+01   4.822271321363408D-01  -8.134490109822365D-01   3.252040890941890D-01
   2.112000000000000D+03   2.846801443682352D+00   1.000000000000000D+00   1.879755562077020D-01  -4.996465270340511D+00   2.025072685427309D+01  -6.374837211921742D-01  -7.695568890389402D-01  -3.737244637010896D-02
   2.112000000000000D+03   3.784819548565338D+00   1.000000000000000D+00   4.541259473652921D+00  -2.092119117204636D+00   2.104562547563144D+01   9.391263693370528D-01   2.184691613773174D-01   2.651657744560880D-01
   2.112000000000000D+03   2.136009198744887D+00   1.000000000000000D+00   2.741425698933333D+00  -4.181457299239214D+00   2.568156258404013D+01   7.276807247505857D-02  -9.248025630465317D-01  -3.734233884089617D-01
   2.112000000000000D+03   1.044908405538649D+00   1.000000000000000D+00   3.053154888191315D+00  -3.959576396080113D+00   2.566627086603144D+01   8.708850540596658D-01  -2.984412881136571D-01  -3.905022665293431D-01
   2.112000000000000D+03   3.704976509750102D+00   1.000000000000000D+00  -4.128702157162566D+00  -2.820251495951408D+00   2.311570545244769D+01  -7.765838868835254D-01   6.094467427182403D-01   1.596625642503684D-01
   2.112000000000000D+03   1.066600606733232D+00   1.000000000000000D+00   4.387624183765817D+00  -2.397655944639719D+00   2.071571955614420D+01   9.082968284064374D-01   2.372510302192098D-01   3.445414636393277D-01
   2.112000000000000D+03   1.483834349832236D+01   1.000000000000000D+00   2.522658635761955D+00  -4.316965764899169D+00   5.244367028703670D+01   4.115445320978980D-01  -6.740214728958932D-01   6.134542787979991D-01
   2.112000000000000D+03   1.056347916893060D+00   1.000000000000000D+00   4.635917520575054D+00   1.873037306479975D+00   3.260528823223822D+01   8.587040710242515D-01   2.879689286036377D-01   4.239118004552956D-01
   2.112000000000000D+03   1.771196290727190D+00   1.000000000000000D+00   3.084197978800720D+00   3.935444426339845D+00   5.307259693121772D+01   3.749234073474300D-01   3.729087698819386D-01   8.487470105797916D-01
   2.112000000000000D+03   1.157917406380406D+00   1.000000000000000D+00   4.486398905684807D+00   2.207311683252477D+00   5.118630366984393D+01   7.798859654472939D-01   2.163151937384652D-01   5.873547632021325D-01
   2.112000000000000D+03   1.167844844571220D+00   1.000000000000000D+00   4.820873344194843D+00  -1.326340907999290D+00   5.152326528103301D+01   6.301287821477058D-01   4.051688877250550D-01   6.624016080360094D-01
   2.112000000000000D+03   1.289570114343405D+00   1.000000000000000D+00   1.506582057996094D+00  -4.767621053681515D+00   5.270819583118308D+01  -5.964418046952774D-02  -9.609306157833374D-01   2.702867428979356D-01
   2.112000000000000D+03   1.384605586665806D+02   1.000000000000000D+00   4.972297612372404D+00  -5.256010460483715D-01   2.875358223393603D+01   5.720130885006632D-01   7.323831177883094D-02   8.169682835163916D-01
   2.112000000000000D+03   1.509698737025587D+00   1.000000000000000D+00   2.332700324236467D+00  -4.422500333778319D+00   2.689808015910965D+01   3.737089656533230D-01  -3.639069290057014D-01   8.531783846370949D-01
   2.112000000000000D+03   1.444356514401534D+00   1.000000000000000D+00  -4.751992589569356D+00   1.555174085729380D+00   2.915812754760277D+01  -7.674165198328896D-01   3.063220283749659D-01   5.632394695152522D-01
   2.112000000000000D+03   1.036759705813097D+00   1.000000000000000D+00  -4.363816068095772D+00   2.440719018151539D+00   3.357591498392764D+01  -6.313675403550586D-01  -7.729037227684723D-01   6.320493902093366D-02
   2.112000000000000D+03   5.061511533044897D+01   1.000000000000000D+00   8.293120506329912D-01   4.930744520826316D+00   2.328897747201819D+01   8.174306993853907D-01   5.707070633523548D-01  -7.810569468382250D-02
   2.112000000000000D+03   2.390387492490228D+01   1.000000000000000D+00  -2.084036631598810D+00   4.544974293203422D+00   2.283637888874854D+01  -7.796165463166880D-01   4.924288832969115D-01  -3.869261371427318D-01
   2.112000000000000D+03   1.480228746575509D+01   1.000000000000000D+00   1.988570813491435D+00   4.587546852384395D+00   1.812312813544148D+01   4.659940277683975D-01   1.349998053286694D-01  -8.744281666583068D-01
   2.112000000000000D+03   2.708384328846236D+00   1.000000000000000D+00   2.880261147529361D+00  -4.087064439131776D+00   1.716294415951140D+01   1.639942203581357D-01  -8.120738208382491D-01  -5.600375033855273D-01
   2.112000000000000D+03   3.998760729843065D+00   1.000000000000000D+00  -7.134845406406923D-01   4.948832166987301D+00   2.185124738470848D+01  -1.477022113248561D-02   6.789879944978263D-01  -7.340007792199662D-01
   2.112000000000000D+03   1.664135152471886D+00   1.000000000000000D+00  -2.303541169175305D-01   4.994690880257230D+00   2.314235550794112D+01   4.391270202534658D-01   8.717164532970583D-01  -2.174347836352548D-01
   2.112000000000000D+03   1.083453448631758D+00   1.000000000000000D+00  -2.000518044916713D-01   4.995996325356840D+00   2.263206417991188D+01   4.025601086984291D-01   7.626589449928994D-01  -5.062575357533224D-01
   2.112000000000000D+03   2.156888454861567D+01   1.000000000000000D+00   2.903139490569612D+00   4.070845256641896D+00   2.136949688504493D+01   9.190480102968701D-01  -1.322070353653382D-02   3.939238095969363D-01
   2.112000000000000D+03   2.453483745716190D+00   1.000000000000000D+00  -4.380577295511367D+00  -2.410506701937325D+00   4.116720819890340D+01  -1.245324166051092D-01  -1.956821600480111D-01   9.727282094467274D-01
   2.112000000000000D+03   2.378487750206104D+00   1.000000000000000D+00  -1.461305023191332D+00   4.781692967305841D+00   2.594595321823212D+01  -9.254560035729530D-01   1.758384849052053D-01   3.355771337219219D-01
   2.112000000000000D+03   1.922465628151485D+00   1.000000000000000D+00  -3.821624682238377D+00   3.224156446709959D+00   1.434321031425633D+01  -5.243179068701718D-01   1.159166840580557D-01  -8.435959073467973D-01
   2.212000000000000D+03   4.668156406245551D+01   1.000000000000000D+00   2.896275355939793D+00   4.075731722012070D+00   2.136209339464875D+01   1.857423577307505D-01   7.561500036822082D-01  -6.274846201111375D-01
   2.112000000000000D+03   2.674165414509507D+02   1.000000000000000D+00  -1.695875867911209D+00  -4.703616166883468D+00   2.511854914653446D+01   6.215459868106998D-02  -5.253343678938659D-01   8.486227711841979D-01
   2.112000000000000D+03   9.931026602185491D+01   1.000000000000000D+00  -4.634556661201167D+00  -1.876402026003461D+00   2.099862457700539D+01  -9.352539826977091D-01  -1.079269837838401D-01   3.371227580858283D-01
   2.112000000000000D+03   4.634218810058655D+00   1.000000000000000D+00  -4.235799864396829D+00  -2.656689578692050D+00   2.138104366929073D+01  -7.882047772207041D-01  -3.910462821866951D-01   4.752010462471900D-01
