[ T - C r o s s ]
    title = [t-cross] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg =    2            # number of crossing regions
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(neutron ),hh0l  n  
#  e-lower      e-upper         flux     r.err 
   1.0000E+00   1.1220E+00   2.1715E-03  0.4472
   1.1220E+00   1.2589E+00   3.4744E-03  0.3535
   1.2589E+00   1.4125E+00   6.9487E-03  0.2499
   1.4125E+00   1.5849E+00   1.7372E-03  0.4999
   1.5849E+00   1.7783E+00   4.3430E-03  0.3161
   1.7783E+00   1.9953E+00   5.6458E-03  0.2773
   1.9953E+00   2.2387E+00   5.2115E-03  0.2886
   2.2387E+00   2.5119E+00   4.3438E-03  0.3161
   2.5119E+00   2.8184E+00   4.7773E-03  0.3014
   2.8184E+00   3.1623E+00   1.0011E-02  0.2084
   3.1623E+00   3.5481E+00   6.9536E-03  0.2499
   3.5481E+00   3.9811E+00   5.6082E-03  0.3329
   3.9811E+00   4.4668E+00   3.4744E-03  0.3535
   4.4668E+00   5.0119E+00   4.3430E-03  0.3161
   5.0119E+00   5.6234E+00   5.6458E-03  0.2773
   5.6234E+00   6.3096E+00   3.0401E-03  0.3779
   6.3096E+00   7.0795E+00   4.7772E-03  0.3014
   7.0795E+00   7.9433E+00   7.9535E-03  0.2522
   7.9433E+00   8.9125E+00   6.7688E-03  0.2606
   8.9125E+00   1.0000E+01   3.0401E-03  0.3779
   1.0000E+01   1.1220E+01   4.7947E-03  0.3014
   1.1220E+01   1.2589E+01   6.5144E-03  0.2581
   1.2589E+01   1.4125E+01   4.3429E-03  0.3161
   1.4125E+01   1.5849E+01   4.3454E-03  0.3161
   1.5849E+01   1.7783E+01   3.0401E-03  0.3779
   1.7783E+01   1.9953E+01   5.2115E-03  0.2886
   1.9953E+01   2.2387E+01   4.7772E-03  0.3014
   2.2387E+01   2.5119E+01   3.4744E-03  0.3535
   2.5119E+01   2.8184E+01   1.3029E-03  0.5773
   2.8184E+01   3.1623E+01   2.1817E-03  0.4472
   3.1623E+01   3.5481E+01   6.5144E-03  0.2581
   3.5481E+01   3.9811E+01   3.9087E-03  0.3333
   3.9811E+01   4.4668E+01   4.6278E-03  0.3215
   4.4668E+01   5.0119E+01   3.9087E-03  0.3333
   5.0119E+01   5.6234E+01   4.7772E-03  0.3014
   5.6234E+01   6.3096E+01   4.3550E-03  0.3162
   6.3096E+01   7.0795E+01   5.2115E-03  0.2886
   7.0795E+01   7.9433E+01   5.2116E-03  0.2886
   7.9433E+01   8.9125E+01   3.9087E-03  0.3333
   8.9125E+01   1.0000E+02   3.4744E-03  0.3535
   1.0000E+02   1.1220E+02   4.3430E-03  0.3161
   1.1220E+02   1.2589E+02   5.2159E-03  0.2886
   1.2589E+02   1.4125E+02   5.2115E-03  0.2886
   1.4125E+02   1.5849E+02   6.0847E-03  0.2672
   1.5849E+02   1.7783E+02   6.0801E-03  0.2672
   1.7783E+02   1.9953E+02   3.4744E-03  0.3535
   1.9953E+02   2.2387E+02   6.5155E-03  0.2581
   2.2387E+02   2.5119E+02   5.6458E-03  0.2773
   2.5119E+02   2.8184E+02   8.2516E-03  0.2293
   2.8184E+02   3.1623E+02   5.6458E-03  0.2773
   3.1623E+02   3.5481E+02   6.9487E-03  0.2499
   3.5481E+02   3.9811E+02   6.0801E-03  0.2672
   3.9811E+02   4.4668E+02   5.6458E-03  0.2773
   4.4668E+02   5.0119E+02   3.4744E-03  0.3535
   5.0119E+02   5.6234E+02   3.4744E-03  0.3535
   5.6234E+02   6.3096E+02   2.1878E-03  0.4472
   6.3096E+02   7.0795E+02   3.4744E-03  0.3535
   7.0795E+02   7.9433E+02   4.3442E-03  0.3161
   7.9433E+02   8.9125E+02   1.3029E-03  0.5773
   8.9125E+02   1.0000E+03   4.3429E-04  1.0000

#   sum over                 3.2235E-02  0.0397
'no. =    2   reg = 100 - 504'
msuc: {\huge [t-cross] in region mesh}
msdl: {\it plotted by \ANGEL \version}
msdr: {\it calculated by \PHITS  2.24}
wt: s(0.7)
\vspace{-3}
  region surface crossing
  area  &=&   1.0000E+00 [cm^2]
e:
