[ T-Track ]
    title = Track Detection using [T-track] tally
     mesh =  reg            # mesh type is region-wise
      reg = 102 200
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =   0.000000      # minimum value of e-mesh points
     emax =   201.0000      # maximum value of e-mesh points
#    edel =   2.010000      # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           0.00000E+00  2.01000E+00  4.02000E+00  6.03000E+00  8.04000E+00
#           1.00500E+01  1.20600E+01  1.40700E+01  1.60800E+01  1.80900E+01
#           2.01000E+01  2.21100E+01  2.41200E+01  2.61300E+01  2.81400E+01
#           3.01500E+01  3.21600E+01  3.41700E+01  3.61800E+01  3.81900E+01
#           4.02000E+01  4.22100E+01  4.42200E+01  4.62300E+01  4.82400E+01
#           5.02500E+01  5.22600E+01  5.42700E+01  5.62800E+01  5.82900E+01
#           6.03000E+01  6.23100E+01  6.43200E+01  6.63300E+01  6.83400E+01
#           7.03500E+01  7.23600E+01  7.43700E+01  7.63800E+01  7.83900E+01
#           8.04000E+01  8.24100E+01  8.44200E+01  8.64300E+01  8.84400E+01
#           9.04500E+01  9.24600E+01  9.44700E+01  9.64800E+01  9.84900E+01
#           1.00500E+02  1.02510E+02  1.04520E+02  1.06530E+02  1.08540E+02
#           1.10550E+02  1.12560E+02  1.14570E+02  1.16580E+02  1.18590E+02
#           1.20600E+02  1.22610E+02  1.24620E+02  1.26630E+02  1.28640E+02
#           1.30650E+02  1.32660E+02  1.34670E+02  1.36680E+02  1.38690E+02
#           1.40700E+02  1.42710E+02  1.44720E+02  1.46730E+02  1.48740E+02
#           1.50750E+02  1.52760E+02  1.54770E+02  1.56780E+02  1.58790E+02
#           1.60800E+02  1.62810E+02  1.64820E+02  1.66830E+02  1.68840E+02
#           1.70850E+02  1.72860E+02  1.74870E+02  1.76880E+02  1.78890E+02
#           1.80900E+02  1.82910E+02  1.84920E+02  1.86930E+02  1.88940E+02
#           1.90950E+02  1.92960E+02  1.94970E+02  1.96980E+02  1.98990E+02
#           2.01000E+02
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = reg.out         # file name of output for the above axis
     part =  proton     neutron    photon     electron 
# kf/name :  2212       2112       22         11       
    gshow =    3            # 0: no 1:bnd, 2:bnd+mat, 3:bnd+reg 4:bnd+lat 5:bmp style
    resol =    1            # (D=1) resolution of gshow or rshow
    width = 0.5000000       # (D=0.5) width of lines for gshow or rshow
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         107 (  0)           0 (  0)         107 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    102

x: Energy [MeV]
y: Flux [1/cm^2/source]              
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(proton  ),hh0l n  y(neutron ),hh0dr n  y(photon  ),hh0ub n  y(electron),hh0mg n  
#  e-lower      e-upper        proton    r.err      neutron   r.err      photon    r.err      electron  r.err 
   4.8240E+01   5.0250E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.0250E+01   5.2260E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.2260E+01   5.4270E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.4270E+01   5.6280E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.6280E+01   5.8290E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.8290E+01   6.0300E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.0300E+01   6.2310E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.2310E+01   6.4320E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.4320E+01   6.6330E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.6330E+01   6.8340E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.8340E+01   7.0350E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.0350E+01   7.2360E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.2360E+01   7.4370E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.4370E+01   7.6380E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.6380E+01   7.8390E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.8390E+01   8.0400E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.0400E+01   8.2410E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.2410E+01   8.4420E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.4420E+01   8.6430E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.6430E+01   8.8440E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.8440E+01   9.0450E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.0450E+01   9.2460E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.2460E+01   9.4470E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.4470E+01   9.6480E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.6480E+01   9.8490E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.8490E+01   1.0050E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0050E+02   1.0251E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0251E+02   1.0452E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0452E+02   1.0653E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0653E+02   1.0854E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0854E+02   1.1055E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.1055E+02   1.1256E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.1256E+02   1.1457E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.1457E+02   1.1658E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.1658E+02   1.1859E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.1859E+02   1.2060E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2060E+02   1.2261E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2261E+02   1.2462E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2462E+02   1.2663E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2663E+02   1.2864E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2864E+02   1.3065E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3065E+02   1.3266E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3266E+02   1.3467E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3467E+02   1.3668E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3668E+02   1.3869E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3869E+02   1.4070E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4070E+02   1.4271E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4271E+02   1.4472E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4472E+02   1.4673E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4673E+02   1.4874E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4874E+02   1.5075E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5075E+02   1.5276E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5276E+02   1.5477E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5477E+02   1.5678E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5678E+02   1.5879E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5879E+02   1.6080E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.6080E+02   1.6281E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.6281E+02   1.6482E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.6482E+02   1.6683E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.6683E+02   1.6884E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.6884E+02   1.7085E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.7085E+02   1.7286E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.7286E+02   1.7487E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.7487E+02   1.7688E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.7688E+02   1.7889E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.7889E+02   1.8090E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.8090E+02   1.8291E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.8291E+02   1.8492E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.8492E+02   1.8693E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.8693E+02   1.8894E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.8894E+02   1.9095E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.9095E+02   1.9296E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.9296E+02   1.9497E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.9497E+02   1.9698E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.9698E+02   1.9899E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.9899E+02   2.0100E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000

#   sum over                 0.0000E+00  0.0000   0.0000E+00  0.0000   7.5836E-03  1.0000   0.0000E+00  0.0000

'no. =  1,  reg  =    102'
msuc: {\huge Track Detection using [T-track] tally}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.35}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.0000E+00 [cm^3]
e:

#------------------------------------------------------------------------------
 newpage:
#   no. =  2   reg =    200

x: Energy [MeV]
y: Flux [1/cm^2/source]              
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(proton  ),hh0l n  y(neutron ),hh0dr n  y(photon  ),hh0ub n  y(electron),hh0mg n  
#  e-lower      e-upper        proton    r.err      neutron   r.err      photon    r.err      electron  r.err 
   0.0000E+00   2.0100E+00   6.2203E-04  0.2810   4.3941E+00  0.1786   2.9653E+00  0.1704   0.0000E+00  0.0000
   2.0100E+00   4.0200E+00   1.1883E-03  0.2849   2.2104E-01  0.3272   5.5452E-01  0.2751   0.0000E+00  0.0000
   4.0200E+00   6.0300E+00   1.5227E-03  0.3047   1.9667E-01  0.3836   1.5645E-01  0.4499   0.0000E+00  0.0000
   6.0300E+00   8.0400E+00   1.8026E-03  0.3274   5.3197E-02  0.6545   1.4821E-01  0.3729   0.0000E+00  0.0000
   8.0400E+00   1.0050E+01   1.9073E-03  0.3464   5.1460E-02  0.7125   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0050E+01   1.2060E+01   2.0057E-03  0.3418   2.5287E-02  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2060E+01   1.4070E+01   2.1291E-03  0.3413   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4070E+01   1.6080E+01   2.2156E-03  0.3557   3.2786E-02  0.8536   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.6080E+01   1.8090E+01   2.4755E-03  0.3543   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.8090E+01   2.0100E+01   2.9376E-03  0.3413   5.3924E-03  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.0100E+01   2.2110E+01   3.4495E-03  0.3442   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.2110E+01   2.4120E+01   3.4614E-03  0.3410   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.4120E+01   2.6130E+01   3.4479E-03  0.3295   5.3277E-02  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.6130E+01   2.8140E+01   3.5492E-03  0.3279   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.8140E+01   3.0150E+01   3.7631E-03  0.3279   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.0150E+01   3.2160E+01   3.9720E-03  0.3279   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.2160E+01   3.4170E+01   4.1547E-03  0.3280   6.6421E-02  0.6418   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.4170E+01   3.6180E+01   4.7051E-03  0.3343   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.6180E+01   3.8190E+01   5.0899E-03  0.3413   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.8190E+01   4.0200E+01   5.3094E-03  0.3413   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.0200E+01   4.2210E+01   5.2646E-03  0.3475   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.2210E+01   4.4220E+01   4.8598E-03  0.3730   5.6707E-03  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.4220E+01   4.6230E+01   4.7631E-03  0.3910   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.6230E+01   4.8240E+01   4.9311E-03  0.3910   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.8240E+01   5.0250E+01   5.0973E-03  0.3910   3.7526E-02  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.0250E+01   5.2260E+01   5.5184E-03  0.3752   2.4794E-02  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.2260E+01   5.4270E+01   6.1025E-03  0.3638   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.4270E+01   5.6280E+01   6.2837E-03  0.3638   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.6280E+01   5.8290E+01   6.4498E-03  0.3639   4.1901E-02  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.8290E+01   6.0300E+01   5.9029E-03  0.3910   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.0300E+01   6.2310E+01   6.0589E-03  0.3910   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.2310E+01   6.4320E+01   6.2133E-03  0.3910   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.4320E+01   6.6330E+01   6.3666E-03  0.3910   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.6330E+01   6.8340E+01   6.5186E-03  0.3910   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.8340E+01   7.0350E+01   6.4389E-03  0.3953   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.0350E+01   7.2360E+01   5.9661E-03  0.4247   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.2360E+01   7.4370E+01   5.8331E-03  0.4152   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.4370E+01   7.6380E+01   5.3346E-03  0.4041   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.6380E+01   7.8390E+01   3.9368E-03  0.4307   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.8390E+01   8.0400E+01   3.7010E-03  0.4970   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.0400E+01   8.2410E+01   3.8283E-03  0.4898   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.2410E+01   8.4420E+01   4.8039E-03  0.4436   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.4420E+01   8.6430E+01   4.8917E-03  0.4436   2.6776E-02  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.6430E+01   8.8440E+01   3.4357E-03  0.5135   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.8440E+01   9.0450E+01   2.5495E-03  0.5961   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.0450E+01   9.2460E+01   1.4970E-03  0.7543   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.2460E+01   9.4470E+01   1.0469E-03  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.4470E+01   9.6480E+01   1.0637E-03  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.6480E+01   9.8490E+01   1.0804E-03  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.8490E+01   1.0050E+02   1.0970E-03  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0050E+02   1.0251E+02   1.1134E-03  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0251E+02   1.0452E+02   1.1297E-03  1.0000   5.9611E-02  0.7348   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0452E+02   1.0653E+02   1.1459E-03  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
