[ T - H e a t ]
    title = [t-heat] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = 2
     unit =    3            # unit is [1/source] : only for output=deposit
     axis =  eng            # axis of output
     file = heat-01.dat     # file name of output for the above axis
 material =  all            # (D=all) number of specific material
   output = deposit_heat    # only deposit energy is written
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =  1.0000000E-05  # minimum value of e-mesh points
     emax =   100.0000      # maximum value of e-mesh points
#    edel =  0.1611810      # mesh width of e-mesh points
       ne =  100            # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-05  1.17490E-05  1.38038E-05  1.62181E-05  1.90546E-05
#           2.23872E-05  2.63027E-05  3.09030E-05  3.63078E-05  4.26580E-05
#           5.01187E-05  5.88844E-05  6.91831E-05  8.12831E-05  9.54993E-05
#           1.12202E-04  1.31826E-04  1.54882E-04  1.81970E-04  2.13796E-04
#           2.51189E-04  2.95121E-04  3.46737E-04  4.07380E-04  4.78630E-04
#           5.62341E-04  6.60693E-04  7.76247E-04  9.12011E-04  1.07152E-03
#           1.25893E-03  1.47911E-03  1.73780E-03  2.04174E-03  2.39883E-03
#           2.81838E-03  3.31131E-03  3.89045E-03  4.57088E-03  5.37032E-03
#           6.30957E-03  7.41310E-03  8.70964E-03  1.02329E-02  1.20226E-02
#           1.41254E-02  1.65959E-02  1.94984E-02  2.29087E-02  2.69153E-02
#           3.16228E-02  3.71535E-02  4.36516E-02  5.12861E-02  6.02560E-02
#           7.07946E-02  8.31764E-02  9.77237E-02  1.14815E-01  1.34896E-01
#           1.58489E-01  1.86209E-01  2.18776E-01  2.57040E-01  3.01995E-01
#           3.54813E-01  4.16869E-01  4.89779E-01  5.75440E-01  6.76083E-01
#           7.94328E-01  9.33254E-01  1.09648E+00  1.28825E+00  1.51356E+00
#           1.77828E+00  2.08930E+00  2.45471E+00  2.88403E+00  3.38844E+00
#           3.98107E+00  4.67735E+00  5.49541E+00  6.45654E+00  7.58578E+00
#           8.91251E+00  1.04713E+01  1.23027E+01  1.44544E+01  1.69824E+01
#           1.99526E+01  2.34423E+01  2.75423E+01  3.23594E+01  3.80189E+01
#           4.46684E+01  5.24807E+01  6.16595E+01  7.24436E+01  8.51138E+01
#           1.00000E+02
 electron =    1            # (D=0) 0-> photon library, 1-> electron ionization
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         310 (  0)         210 (  0)         520 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    2
msuc: {\huge [t-heat] in region mesh}
msdl: {\it plotted by \ANGEL \version}
msdr: {\it calculated by \PHITS  2.30}
p: afac(0.8) form(0.9)
#----------------------------------------#
# Total heat without ncut, gcut and pcut #
#----------------------------------------#
wt: s(0.7)
\vspace{-3}
  without ncut
  gcut and pcut
e:

'no. =  1,    reg  =      2'

x: Deposit Energy [MeV]
y: Number [1/source]
p: xlog ylog
h: n            x            y(total),hh0l n   
#  e-lower      e-upper      total       r.err 
   2.5704E-01   3.0200E-01   3.5000E-07  0.1690
   3.0200E-01   3.5481E-01   6.1000E-07  0.1280
   3.5481E-01   4.1687E-01   6.0000E-07  0.1291
   4.1687E-01   4.8978E-01   8.4000E-07  0.1091
   4.8978E-01   5.7544E-01   9.9000E-07  0.1005
   5.7544E-01   6.7608E-01   1.1400E-06  0.0937
   6.7608E-01   7.9433E-01   1.4300E-06  0.0836
   7.9433E-01   9.3325E-01   1.2000E-06  0.0913
   9.3325E-01   1.0965E+00   1.0800E-06  0.0962
   1.0965E+00   1.2882E+00   1.1900E-06  0.0917
   1.2882E+00   1.5136E+00   1.1700E-06  0.0924
   1.5136E+00   1.7783E+00   8.8000E-07  0.1066
   1.7783E+00   2.0893E+00   5.5000E-07  0.1348
   2.0893E+00   2.4547E+00   3.6000E-07  0.1667
   2.4547E+00   2.8840E+00   1.1000E-07  0.3015
   2.8840E+00   3.3884E+00   3.0000E-08  0.5774
   3.3884E+00   3.9811E+00   5.0000E-08  0.4472
   3.9811E+00   4.6774E+00   3.0000E-08  0.5774
   4.6774E+00   5.4954E+00   1.2000E-07  0.2887
   5.4954E+00   6.4565E+00   4.5000E-07  0.1491
   6.4565E+00   7.5858E+00   1.3200E-06  0.0870
   7.5858E+00   8.9125E+00   7.2000E-07  0.1179
   8.9125E+00   1.0471E+01   2.2000E-07  0.2132
   1.0471E+01   1.2303E+01   8.0000E-08  0.3536
   1.2303E+01   1.4454E+01   4.0000E-08  0.5000
   1.4454E+01   1.6982E+01   3.0000E-08  0.5774
   1.6982E+01   1.9953E+01   0.0000E+00  0.0000
   1.9953E+01   2.3442E+01   0.0000E+00  0.0000
   2.3442E+01   2.7542E+01   0.0000E+00  0.0000
   2.7542E+01   3.2359E+01   0.0000E+00  0.0000
   3.2359E+01   3.8019E+01   0.0000E+00  0.0000
   3.8019E+01   4.4668E+01   0.0000E+00  0.0000
   4.4668E+01   5.2481E+01   0.0000E+00  0.0000
   5.2481E+01   6.1660E+01   0.0000E+00  0.0000
   6.1660E+01   7.2444E+01   0.0000E+00  0.0000
   7.2444E+01   8.5114E+01   0.0000E+00  0.0000
   8.5114E+01   1.0000E+02   0.0000E+00  0.0000

#   sum over                 2.7480E-05  0.0191

#   no. =  1

#------------------------------------------------------------------------------

#   total  heat  =    0.0000E+00 (MeV/source)
#   energy diff. =    0.000      (%) of total heat
#                =    3.0221E-07 (MeV/source)
#     absorption =    9.0465E-05 (MeV/source)
#     mass diff. =    9.0163E-05 (MeV/source)
