h: n            x            y(all     ),hh0l  n  y(deuteron),hh0dr n  y(triton  ),hh0mb n  y(alpha   ),hh0ug n  
#  e-lower      e-upper     deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err 
   2.9512E-04   3.4674E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.4674E-04   4.0738E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.0738E-04   4.7863E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.7863E-04   5.6234E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.6234E-04   6.6069E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.6069E-04   7.7625E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.7625E-04   9.1201E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.1201E-04   1.0715E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0715E-03   1.2589E-03   2.0000E-08  0.7071   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2589E-03   1.4791E-03   6.0000E-08  0.4082   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4791E-03   1.7378E-03   2.0000E-08  0.7071   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.7378E-03   2.0417E-03   6.0000E-08  0.4082   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.0417E-03   2.3988E-03   2.0000E-08  0.7071   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.3988E-03   2.8184E-03   5.0000E-08  0.4472   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.8184E-03   3.3113E-03   9.0000E-08  0.3333   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.3113E-03   3.8905E-03   3.0000E-08  0.5774   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.8905E-03   4.5709E-03   1.0000E-07  0.3162   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.5709E-03   5.3703E-03   1.0000E-07  0.3162   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.3703E-03   6.3096E-03   1.5000E-07  0.2582   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.3096E-03   7.4131E-03   1.4000E-07  0.2673   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.4131E-03   8.7096E-03   1.7000E-07  0.2425   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.7096E-03   1.0233E-02   1.5000E-07  0.2582   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0233E-02   1.2023E-02   2.0000E-07  0.2236   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2023E-02   1.4125E-02   3.1000E-07  0.1796   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4125E-02   1.6596E-02   3.3000E-07  0.1741   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.6596E-02   1.9498E-02   3.4000E-07  0.1715   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.9498E-02   2.2909E-02   4.6000E-07  0.1474   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.2909E-02   2.6915E-02   4.7000E-07  0.1459   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.6915E-02   3.1623E-02   4.2000E-07  0.1543   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.1623E-02   3.7154E-02   4.9000E-07  0.1429   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.7154E-02   4.3652E-02   3.7000E-07  0.1644   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.3652E-02   5.1286E-02   6.6000E-07  0.1231   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.1286E-02   6.0256E-02   5.3000E-07  0.1374   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.0256E-02   7.0795E-02   8.6000E-07  0.1078   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.0795E-02   8.3176E-02   8.7000E-07  0.1072   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.3176E-02   9.7724E-02   7.4000E-07  0.1162   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.7724E-02   1.1482E-01   9.0000E-07  0.1054   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.1482E-01   1.3490E-01   6.8000E-07  0.1213   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3490E-01   1.5849E-01   6.2000E-07  0.1270   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5849E-01   1.8621E-01   4.4000E-07  0.1508   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.8621E-01   2.1878E-01   5.2000E-07  0.1387   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.1878E-01   2.5704E-01   4.2000E-07  0.1543   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.5704E-01   3.0200E-01   3.5000E-07  0.1690   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.0200E-01   3.5481E-01   6.1000E-07  0.1280   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.5481E-01   4.1687E-01   6.0000E-07  0.1291   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.1687E-01   4.8978E-01   8.4000E-07  0.1091   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.8978E-01   5.7544E-01   9.9000E-07  0.1005   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.7544E-01   6.7608E-01   1.1400E-06  0.0937   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.7608E-01   7.9433E-01   1.4300E-06  0.0836   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.9433E-01   9.3325E-01   1.2000E-06  0.0913   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.3325E-01   1.0965E+00   1.0800E-06  0.0962   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0965E+00   1.2882E+00   1.1900E-06  0.0917   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2882E+00   1.5136E+00   1.1700E-06  0.0924   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5136E+00   1.7783E+00   8.8000E-07  0.1066   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.7783E+00   2.0893E+00   5.5000E-07  0.1348   1.0000E-08  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.0893E+00   2.4547E+00   3.6000E-07  0.1667   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.4547E+00   2.8840E+00   1.1000E-07  0.3015   1.0000E-08  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.8840E+00   3.3884E+00   3.0000E-08  0.5774   2.0000E-08  0.7071   0.0000E+00  0.0000   3.0000E-08  0.5774
   3.3884E+00   3.9811E+00   5.0000E-08  0.4472   0.0000E+00  0.0000   0.0000E+00  0.0000   2.0000E-07  0.2236
   3.9811E+00   4.6774E+00   3.0000E-08  0.5774   2.0000E-08  0.7071   0.0000E+00  0.0000   3.8000E-07  0.1622
   4.6774E+00   5.4954E+00   1.2000E-07  0.2887   0.0000E+00  0.0000   0.0000E+00  0.0000   6.4000E-07  0.1250
   5.4954E+00   6.4565E+00   4.5000E-07  0.1491   0.0000E+00  0.0000   0.0000E+00  0.0000   6.6000E-07  0.1231
   6.4565E+00   7.5858E+00   1.3200E-06  0.0870   1.0000E-08  1.0000   0.0000E+00  0.0000   6.0000E-07  0.1291
   7.5858E+00   8.9125E+00   7.2000E-07  0.1179   0.0000E+00  0.0000   0.0000E+00  0.0000   2.1000E-07  0.2182
   8.9125E+00   1.0471E+01   2.2000E-07  0.2132   0.0000E+00  0.0000   0.0000E+00  0.0000   9.0000E-08  0.3333
   1.0471E+01   1.2303E+01   8.0000E-08  0.3536   0.0000E+00  0.0000   0.0000E+00  0.0000   5.0000E-08  0.4472
   1.2303E+01   1.4454E+01   4.0000E-08  0.5000   0.0000E+00  0.0000   0.0000E+00  0.0000   4.0000E-08  0.5000
   1.4454E+01   1.6982E+01   3.0000E-08  0.5774   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.6982E+01   1.9953E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.9953E+01   2.3442E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.3442E+01   2.7542E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.7542E+01   3.2359E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.2359E+01   3.8019E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.8019E+01   4.4668E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.4668E+01   5.2481E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.2481E+01   6.1660E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.1660E+01   7.2444E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.2444E+01   8.5114E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.5114E+01   1.0000E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000

#   sum over                 2.7380E-05  0.0191   7.0000E-08  0.3780   0.0000E+00  0.0000   2.9000E-06  0.0587

'no. =  1,  reg  =      2'
msuc: {\huge [t-deposit] in region mesh}
msdl: {\it plotted by \ANGEL \version}
msdr: {\it calculated by \PHITS  2.30}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.0000E+00 [cm^3]
e:
