   2.1500E+01   2.2000E+01   7.8346E-12  0.0173
   2.2000E+01   2.2500E+01   7.5158E-12  0.0176
   2.2500E+01   2.3000E+01   7.2681E-12  0.0179
   2.3000E+01   2.3500E+01   6.9265E-12  0.0180
   2.3500E+01   2.4000E+01   6.6174E-12  0.0184
   2.4000E+01   2.4500E+01   6.3775E-12  0.0189
   2.4500E+01   2.5000E+01   6.1926E-12  0.0196
   2.5000E+01   2.5500E+01   5.8488E-12  0.0200
   2.5500E+01   2.6000E+01   5.5687E-12  0.0203
   2.6000E+01   2.6500E+01   5.2980E-12  0.0207
   2.6500E+01   2.7000E+01   5.1129E-12  0.0211
   2.7000E+01   2.7500E+01   4.8155E-12  0.0214
   2.7500E+01   2.8000E+01   4.6436E-12  0.0221
   2.8000E+01   2.8500E+01   4.3654E-12  0.0227
   2.8500E+01   2.9000E+01   4.1477E-12  0.0230
   2.9000E+01   2.9500E+01   3.9603E-12  0.0240
   2.9500E+01   3.0000E+01   3.7771E-12  0.0248
   3.0000E+01   3.0500E+01   3.5097E-12  0.0250
   3.0500E+01   3.1000E+01   3.3033E-12  0.0256
   3.1000E+01   3.1500E+01   3.1450E-12  0.0262
   3.1500E+01   3.2000E+01   2.9149E-12  0.0269
   3.2000E+01   3.2500E+01   2.8077E-12  0.0274
   3.2500E+01   3.3000E+01   2.5869E-12  0.0282
   3.3000E+01   3.3500E+01   2.4401E-12  0.0293
   3.3500E+01   3.4000E+01   2.2601E-12  0.0303
   3.4000E+01   3.4500E+01   2.0535E-12  0.0307
   3.4500E+01   3.5000E+01   1.9919E-12  0.0314
   3.5000E+01   3.5500E+01   1.8220E-12  0.0318
   3.5500E+01   3.6000E+01   1.7274E-12  0.0329
   3.6000E+01   3.6500E+01   1.5611E-12  0.0334
   3.6500E+01   3.7000E+01   1.4442E-12  0.0345
   3.7000E+01   3.7500E+01   1.3438E-12  0.0341
   3.7500E+01   3.8000E+01   1.2491E-12  0.0345
   3.8000E+01   3.8500E+01   1.2159E-12  0.0353
