   2.0000E-01   2.1500E-01   4.4037E-09  0.0975
   2.1500E-01   2.3000E-01   4.1731E-09  0.0930
   2.3000E-01   2.4500E-01   4.1730E-09  0.0930
   2.4500E-01   2.6000E-01   4.1729E-09  0.0930
   2.6000E-01   2.7500E-01   4.1729E-09  0.0930
   2.7500E-01   2.9000E-01   4.1728E-09  0.0930
   2.9000E-01   3.0500E-01   4.1727E-09  0.0930
   3.0500E-01   3.2000E-01   4.1726E-09  0.0930
   3.2000E-01   3.3500E-01   4.1726E-09  0.0930
   3.3500E-01   3.5000E-01   4.3059E-09  0.0952
   3.5000E-01   3.6500E-01   4.3335E-09  0.0969
   3.6500E-01   3.8000E-01   4.3335E-09  0.0969
   3.8000E-01   3.9500E-01   4.3334E-09  0.0969
   3.9500E-01   4.1000E-01   4.3334E-09  0.0969
   4.1000E-01   4.2500E-01   4.1778E-09  0.0929
   4.2500E-01   4.4000E-01   4.1721E-09  0.0930
   4.4000E-01   4.5500E-01   4.1720E-09  0.0930
   4.5500E-01   4.7000E-01   4.1719E-09  0.0930
   4.7000E-01   4.8500E-01   4.1718E-09  0.0930
   4.8500E-01   5.0000E-01   4.1718E-09  0.0930
   5.0000E-01   5.1500E-01   4.1979E-09  0.0926
   5.1500E-01   5.3000E-01   4.2108E-09  0.0926
   5.3000E-01   5.4500E-01   4.2107E-09  0.0926
   5.4500E-01   5.6000E-01   4.2106E-09  0.0926
   5.6000E-01   5.7500E-01   4.2105E-09  0.0926
   5.7500E-01   5.9000E-01   4.2105E-09  0.0926
   5.9000E-01   6.0500E-01   4.2104E-09  0.0926
   6.0500E-01   6.2000E-01   4.2103E-09  0.0926
   6.2000E-01   6.3500E-01   4.2102E-09  0.0926
   6.3500E-01   6.5000E-01   4.2102E-09  0.0926
   6.5000E-01   6.6500E-01   4.2101E-09  0.0926
   6.6500E-01   6.8000E-01   4.2100E-09  0.0926
   6.8000E-01   6.9500E-01   4.2100E-09  0.0926
   6.9500E-01   7.1000E-01   4.2099E-09  0.0926
   7.1000E-01   7.2500E-01   4.2098E-09  0.0926
   7.2500E-01   7.4000E-01   4.2097E-09  0.0926
   7.4000E-01   7.5500E-01   4.2097E-09  0.0926
   7.5500E-01   7.7000E-01   4.2096E-09  0.0926
   7.7000E-01   7.8500E-01   4.2095E-09  0.0926
   7.8500E-01   8.0000E-01   4.2094E-09  0.0926
   8.0000E-01   8.1500E-01   4.2094E-09  0.0926
   8.1500E-01   8.3000E-01   4.2093E-09  0.0926
   8.3000E-01   8.4500E-01   4.2092E-09  0.0926
   8.4500E-01   8.6000E-01   4.2091E-09  0.0926
   8.6000E-01   8.7500E-01   4.2091E-09  0.0926
   8.7500E-01   8.9000E-01   4.2090E-09  0.0926
   8.9000E-01   9.0500E-01   4.2089E-09  0.0926
   9.0500E-01   9.2000E-01   4.2089E-09  0.0926
   9.2000E-01   9.3500E-01   4.2088E-09  0.0926
   9.3500E-01   9.5000E-01   4.2087E-09  0.0926
   9.5000E-01   9.6500E-01   4.2086E-09  0.0926
   9.6500E-01   9.8000E-01   4.2086E-09  0.0926
   9.8000E-01   9.9500E-01   4.2085E-09  0.0926
   9.9500E-01   1.0100E+00   4.2084E-09  0.0926
   1.0100E+00   1.0250E+00   4.2083E-09  0.0926
   1.0250E+00   1.0400E+00   4.2063E-09  0.0926
   1.0400E+00   1.0550E+00   4.2059E-09  0.0926
   1.0550E+00   1.0700E+00   4.2059E-09  0.0926
   1.0700E+00   1.0850E+00   4.2058E-09  0.0926
   1.0850E+00   1.1000E+00   4.2057E-09  0.0926
   1.1000E+00   1.1150E+00   4.2056E-09  0.0926
   1.1150E+00   1.1300E+00   4.2056E-09  0.0926
   1.1300E+00   1.1450E+00   4.2055E-09  0.0926
   1.1450E+00   1.1600E+00   4.2054E-09  0.0926
   1.1600E+00   1.1750E+00   4.2054E-09  0.0926
   1.1750E+00   1.1900E+00   4.2053E-09  0.0926
   1.1900E+00   1.2050E+00   4.2052E-09  0.0926
   1.2050E+00   1.2200E+00   4.2051E-09  0.0926
   1.2200E+00   1.2350E+00   4.2051E-09  0.0926
   1.2350E+00   1.2500E+00   4.2050E-09  0.0926
   1.2500E+00   1.2650E+00   4.2049E-09  0.0926
   1.2650E+00   1.2800E+00   4.2048E-09  0.0926
   1.2800E+00   1.2950E+00   4.2048E-09  0.0926
   1.2950E+00   1.3100E+00   4.2047E-09  0.0926
   1.3100E+00   1.3250E+00   4.2046E-09  0.0926
   1.3250E+00   1.3400E+00   4.2046E-09  0.0926
   1.3400E+00   1.3550E+00   4.2045E-09  0.0926
   1.3550E+00   1.3700E+00   4.2044E-09  0.0926
   1.3700E+00   1.3850E+00   4.2043E-09  0.0926
   1.3850E+00   1.4000E+00   4.2043E-09  0.0926
   1.4000E+00   1.4150E+00   4.2042E-09  0.0926
   1.4150E+00   1.4300E+00   4.2041E-09  0.0926
   1.4300E+00   1.4450E+00   4.2040E-09  0.0926
