[ T - C r o s s ]
    title = [t-cross] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg =    5            # number of crossing regions
   1.5849E+03   1.7783E+03   0.0000E+00  0.0000
   1.7783E+03   1.9953E+03   0.0000E+00  0.0000
   1.9953E+03   2.2387E+03   0.0000E+00  0.0000
   2.2387E+03   2.5119E+03   0.0000E+00  0.0000
   2.5119E+03   2.8184E+03   0.0000E+00  0.0000
   2.8184E+03   3.1623E+03   0.0000E+00  0.0000
   3.1623E+03   3.5481E+03   0.0000E+00  0.0000
   3.5481E+03   3.9811E+03   0.0000E+00  0.0000
   3.9811E+03   4.4668E+03   0.0000E+00  0.0000
   4.4668E+03   5.0119E+03   0.0000E+00  0.0000
   5.0119E+03   5.6234E+03   0.0000E+00  0.0000
   5.6234E+03   6.3096E+03   0.0000E+00  0.0000
   6.3096E+03   7.0795E+03   0.0000E+00  0.0000
   7.0795E+03   7.9433E+03   0.0000E+00  0.0000
   7.9433E+03   8.9125E+03   0.0000E+00  0.0000
   8.9125E+03   1.0000E+04   0.0000E+00  0.0000

#   sum over                 4.8941E-07  0.0017
'no. =    1   reg = 100 - 502'
msuc: {\huge [t-cross] in region mesh}
msdl: {\it plotted by \ANGEL \version}
msdr: {\it calculated by \PHITS  2.30}
wt: s(0.7)
\vspace{-3}
  region surface crossing
  area  &=&   3.5043E+04 [cm^2]
e:

#------------------------------------------------------------------------------
 newpage:
#   no. =    2   reg = 100 - 504

x: Energy [MeV]
y:   Flux  [1/cm^2/MeV/source]             
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(neutron ),hh0l  n  
#  e-lower      e-upper         flux     r.err 
   1.0000E+00   1.1220E+00   7.4332E-08  0.0139
   1.1220E+00   1.2589E+00   7.5340E-08  0.0131
   1.2589E+00   1.4125E+00   7.3393E-08  0.0124
   1.4125E+00   1.5849E+00   7.1803E-08  0.0119
   1.5849E+00   1.7783E+00   6.9309E-08  0.0114
   1.7783E+00   1.9953E+00   6.4815E-08  0.0111
   1.9953E+00   2.2387E+00   5.8905E-08  0.0110
   2.2387E+00   2.5119E+00   5.5967E-08  0.0107
   2.5119E+00   2.8184E+00   4.9949E-08  0.0107
   2.8184E+00   3.1623E+00   4.5875E-08  0.0105
   3.1623E+00   3.5481E+00   4.1721E-08  0.0104
   3.5481E+00   3.9811E+00   3.7511E-08  0.0103
   3.9811E+00   4.4668E+00   3.3633E-08  0.0103
   4.4668E+00   5.0119E+00   3.0085E-08  0.0103
   5.0119E+00   5.6234E+00   2.6713E-08  0.0103
   5.6234E+00   6.3096E+00   2.3551E-08  0.0104
   6.3096E+00   7.0795E+00   2.0640E-08  0.0104
   7.0795E+00   7.9433E+00   1.7880E-08  0.0106
   7.9433E+00   8.9125E+00   1.5327E-08  0.0108
   8.9125E+00   1.0000E+01   1.3474E-08  0.0109
   1.0000E+01   1.1220E+01   1.1539E-08  0.0111
   1.1220E+01   1.2589E+01   1.0177E-08  0.0111
   1.2589E+01   1.4125E+01   8.7944E-09  0.0113
   1.4125E+01   1.5849E+01   7.5445E-09  0.0115
   1.5849E+01   1.7783E+01   6.6080E-09  0.0117
   1.7783E+01   1.9953E+01   5.7750E-09  0.0118
   1.9953E+01   2.2387E+01   4.9841E-09  0.0120
   2.2387E+01   2.5119E+01   4.2873E-09  0.0122
   2.5119E+01   2.8184E+01   3.7386E-09  0.0124
   2.8184E+01   3.1623E+01   3.4221E-09  0.0122
   3.1623E+01   3.5481E+01   3.0219E-09  0.0122
   3.5481E+01   3.9811E+01   2.7839E-09  0.0121
   3.9811E+01   4.4668E+01   2.5273E-09  0.0119
   4.4668E+01   5.0119E+01   2.2497E-09  0.0119
   5.0119E+01   5.6234E+01   2.0887E-09  0.0117
   5.6234E+01   6.3096E+01   1.8414E-09  0.0117
   6.3096E+01   7.0795E+01   1.7118E-09  0.0115
   7.0795E+01   7.9433E+01   1.5323E-09  0.0115
   7.9433E+01   8.9125E+01   1.3866E-09  0.0114
   8.9125E+01   1.0000E+02   1.2309E-09  0.0114
   1.0000E+02   1.1220E+02   1.0759E-09  0.0115
   1.1220E+02   1.2589E+02   9.5163E-10  0.0116
   1.2589E+02   1.4125E+02   8.2427E-10  0.0117
   1.4125E+02   1.5849E+02   7.0288E-10  0.0120
   1.5849E+02   1.7783E+02   6.0725E-10  0.0122
   1.7783E+02   1.9953E+02   5.0143E-10  0.0126
   1.9953E+02   2.2387E+02   4.3516E-10  0.0128
   2.2387E+02   2.5119E+02   3.4300E-10  0.0136
   2.5119E+02   2.8184E+02   2.6793E-10  0.0145
   2.8184E+02   3.1623E+02   2.0323E-10  0.0158
   3.1623E+02   3.5481E+02   1.3483E-10  0.0183
   3.5481E+02   3.9811E+02   8.7214E-11  0.0214
   3.9811E+02   4.4668E+02   5.2264E-11  0.0261
   4.4668E+02   5.0119E+02   3.0151E-11  0.0325
   5.0119E+02   5.6234E+02   1.7196E-11  0.0406
   5.6234E+02   6.3096E+02   9.4580E-12  0.0517
   6.3096E+02   7.0795E+02   4.6885E-12  0.0693
   7.0795E+02   7.9433E+02   2.0891E-12  0.0981
   7.9433E+02   8.9125E+02   4.1177E-13  0.2085
   8.9125E+02   1.0000E+03   1.5956E-14  1.0000
   1.0000E+03   1.1220E+03   0.0000E+00  0.0000
   1.1220E+03   1.2589E+03   0.0000E+00  0.0000
   1.2589E+03   1.4125E+03   0.0000E+00  0.0000
   1.4125E+03   1.5849E+03   0.0000E+00  0.0000
   1.5849E+03   1.7783E+03   0.0000E+00  0.0000
   1.7783E+03   1.9953E+03   0.0000E+00  0.0000
   1.9953E+03   2.2387E+03   0.0000E+00  0.0000
   2.2387E+03   2.5119E+03   0.0000E+00  0.0000
   2.5119E+03   2.8184E+03   0.0000E+00  0.0000
   2.8184E+03   3.1623E+03   0.0000E+00  0.0000
   3.1623E+03   3.5481E+03   0.0000E+00  0.0000
   3.5481E+03   3.9811E+03   0.0000E+00  0.0000
   3.9811E+03   4.4668E+03   0.0000E+00  0.0000
   4.4668E+03   5.0119E+03   0.0000E+00  0.0000
   5.0119E+03   5.6234E+03   0.0000E+00  0.0000
   5.6234E+03   6.3096E+03   0.0000E+00  0.0000
   6.3096E+03   7.0795E+03   0.0000E+00  0.0000
   7.0795E+03   7.9433E+03   0.0000E+00  0.0000
   7.9433E+03   8.9125E+03   0.0000E+00  0.0000
   8.9125E+03   1.0000E+04   0.0000E+00  0.0000

#   sum over                 6.6760E-07  0.0016
'no. =    2   reg = 100 - 504'
msuc: {\huge [t-cross] in region mesh}
msdl: {\it plotted by \ANGEL \version}
msdr: {\it calculated by \PHITS  2.30}
wt: s(0.7)
\vspace{-3}
  region surface crossing
  area  &=&   2.8815E+04 [cm^2]
e:

#------------------------------------------------------------------------------
 newpage:
#   no. =    3   reg = 100 - 506

x: Energy [MeV]
y:   Flux  [1/cm^2/MeV/source]             
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(neutron ),hh0l  n  
#  e-lower      e-upper         flux     r.err 
   1.0000E+00   1.1220E+00   7.6492E-08  0.0155
   1.1220E+00   1.2589E+00   7.8426E-08  0.0145
   1.2589E+00   1.4125E+00   7.5385E-08  0.0140
   1.4125E+00   1.5849E+00   7.0953E-08  0.0135
